,Since,Type,Total,Catrgory,Provider
95,2016,COMPANY,2000000,BUSINESS,MYLIFE DIGITAL
96,2017,COMPANY,7000000,BUSINESS,NETCALL PLC
97,2016,COMPANY,9000000,BUSINESS,NONWOVENN
98,2018,COMPANY,6000000,BUSINESS,NORTHERN ESCALATOR INSTALLATIONS
99,2018,COMPANY,5000000,BUSINESS,NSS GROUP
100,2014,COMPANY,4000000,BUSINESS,NWC
101,2016,COMPANY,10000000,BUSINESS,OCEE INTERNATIONAL
102,2016,COMPANY,10000000,BUSINESS,OLIVE COMMUNICATIONS
103,2014,COMPANY,3000000,BUSINESS,OLIVER SWEENEY
104,2018,COMPANY,6000000,BUSINESS,ONE MEDIA IP GROUP PLC
105,2016,COMPANY,8000000,BUSINESS,PAINTBOX
106,2013,COMPANY,4000000,BUSINESS,PALMER HARGREAVES
107,2018,COMPANY,5000000,BUSINESS,PARKLANDS GROUP
108,2013,COMPANY,7000000,BUSINESS,PETROTECHNICS
109,2016,COMPANY,17000000,BUSINESS,PHARMACY2U
110,2018,COMPANY,4000000,BUSINESS,PLANTFORCE
111,2014,COMPANY,5000000,BUSINESS,PLASTIQUE
112,2015,COMPANY,4000000,BUSINESS,PPS EQUIPMENT
113,2017,COMPANY,3000000,BUSINESS,PREZOLA
114,2012,COMPANY,4000000,BUSINESS,PRIMROSE
115,2015,COMPANY,7000000,BUSINESS,PRODRIVE COMPOSITES
116,2013,COMPANY,8000000,BUSINESS,PTS CONSULTING
117,2014,COMPANY,5000000,BUSINESS,PUREPRINT
118,2018,COMPANY,7000000,BUSINESS,PURITY BREWING CO
119,2014,COMPANY,7000000,BUSINESS,RECORDSURE
120,2019,COMPANY,3000000,BUSINESS,RED INDUSTRIES
121,2015,COMPANY,7000000,BUSINESS,REFLEX VANS
122,2014,COMPANY,3000000,BUSINESS,RENAL SERVICES
123,2017,COMPANY,5000000,BUSINESS,RENEGADE SPIRITS IRELAND
124,2015,COMPANY,3000000,BUSINESS,RETHINK GROUP
125,2016,COMPANY,14000000,BUSINESS,RIVERRIDGE
126,2016,COMPANY,10000000,BUSINESS,RMS INTERNATIONAL
127,2017,COMPANY,10000000,BUSINESS,ROC TECHNOLOGIES
128,2015,COMPANY,22000000,BUSINESS,ROVOP
129,2016,COMPANY,15000000,BUSINESS,RSK GROUP
130,2018,COMPANY,3000000,BUSINESS,RUROC
131,2014,COMPANY,4000000,BUSINESS,RUTLAND CYCLING
132,2014,COMPANY,8000000,BUSINESS,RVL GROUP
133,2018,COMPANY,11000000,BUSINESS,SALECYCLE
134,2015,COMPANY,19000000,BUSINESS,SDL GROUP
135,2018,COMPANY,11000000,BUSINESS,SEASALT
136,2014,COMPANY,4000000,BUSINESS,SEMAFONE
137,2017,COMPANY,3000000,BUSINESS,SENTRIC MUSIC
138,2016,COMPANY,15000000,BUSINESS,SERTEC
139,2016,COMPANY,3000000,BUSINESS,SETFORDS SOLICITORS
140,2015,COMPANY,6000000,BUSINESS,SIMWORX
141,2015,COMPANY,10000000,BUSINESS,SLG
142,2016,COMPANY,10000000,BUSINESS,SOFOLOGY
143,2016,COMPANY,8000000,BUSINESS,SOLID SOLUTIONS
144,2016,COMPANY,6000000,BUSINESS,SOPHIA WEBSTER
145,2014,COMPANY,5000000,BUSINESS,SPEX
146,2012,COMPANY,26000000,BUSINESS,SPRINGFIELD HEALTHCARE GROUP
147,2011,COMPANY,4000000,BUSINESS,STATESMAN TRAVEL GROUP
148,2012,COMPANY,12000000,BUSINESS,STATS GROUP
149,2015,COMPANY,3000000,BUSINESS,STEVENSWOOD
150,2015,COMPANY,3000000,BUSINESS,STYLES & WOOD
151,2014,COMPANY,3000000,BUSINESS,TASK FRONTERRA GROUP
152,2016,COMPANY,10000000,BUSINESS,TAX SYSTEMS PLC
153,2014,COMPANY,14000000,BUSINESS,TCC GROUP
154,2014,COMPANY,15000000,BUSINESS,TCL GROUP
155,2012,COMPANY,4000000,BUSINESS,TD4  BOOST JUICE BARS AND THE SHAKE LAB
156,2013,COMPANY,3000000,BUSINESS,THAMES TECHNOLOGY
157,2015,COMPANY,14000000,BUSINESS,THE COACHING INN GROUP
158,2013,COMPANY,5000000,BUSINESS,THE EXCHANGE LAB
159,2016,COMPANY,2000000,BUSINESS,THE GOOD CARE GROUP
160,2017,COMPANY,6000000,BUSINESS,THE PLUM GUIDE
161,2017,COMPANY,3000000,BUSINESS,TICKX
162,2018,COMPANY,6000000,BUSINESS,TIG
163,2015,COMPANY,6000000,BUSINESS,TOTAL RECYCLING SERVICES
164,2016,COMPANY,2000000,BUSINESS,TOUCANBOX
165,2017,COMPANY,3000000,BUSINESS,TRIPTEASE
166,2013,COMPANY,6000000,BUSINESS,TRUNKI
167,2014,COMPANY,18000000,BUSINESS,UKCLOUD
168,2017,COMPANY,8000000,BUSINESS,ULTRA FINISHING
169,2011,COMPANY,4000000,BUSINESS,UNRULY
170,2014,COMPANY,14000000,BUSINESS,VICTORIA PLC
171,2016,COMPANY,10000000,BUSINESS,VIRTUAL1
172,2013,COMPANY,10000000,BUSINESS,VTL GROUP
173,2015,COMPANY,4000000,BUSINESS,VYSIION
174,2016,COMPANY,2000000,BUSINESS,WALES ENVIRONMENTAL
175,2017,COMPANY,4000000,BUSINESS,WALKER PRECISION ENGINEERING
176,2012,COMPANY,8000000,BUSINESS,WEAR INNS
177,2016,COMPANY,10000000,BUSINESS,WOODALL NICHOLSON
178,2012,COMPANY,8000000,BUSINESS,WORKSHARE
179,2013,COMPANY,21000000,BUSINESS,XERCISE4LESS
180,2013,COMPANY,10000000,BUSINESS,YORK MAILING
181,2015,COMPANY,6000000,BUSINESS,ZONE
