Department,year,AwardPounds
Animal and Plant Sciences,2014,2146324.0
Animal and Plant Sciences,2015,1085009.0
Animal and Plant Sciences,2016,2855149.0
Animal and Plant Sciences,2017,3175943.0
Animal and Plant Sciences,2018,3680598.0
Anthropology,2013,1011394.0
Anthropology,2015,1313270.0
Anthropology,2017,3535047.0
Anthropology,2018,1292739.0
Anthropology and Sociology,2017,1843003.0
Anthropology and Sociology,2018,805032.0
"App. Res. & Outreach in Lang. Ed., FACH",2013,68648.0
Applied Mathematics,2015,216765.0
Applied Mathematics,2016,1714469.0
Applied Mathematics,2017,262219.0
Applied Mathematics,2018,1280257.0
Applied Maths and Theoretical Physics,2013,2321648.0
Applied Maths and Theoretical Physics,2014,417856.0
Applied Maths and Theoretical Physics,2015,7405738.0
Applied Maths and Theoretical Physics,2016,293308.0
Applied Maths and Theoretical Physics,2017,4476335.0
Applied Maths and Theoretical Physics,2018,919046.0
Arab and Islamic Studies,2014,1301576.0
Arab and Islamic Studies,2015,746596.0
Arab and Islamic Studies,2018,38227.0
Archaeology,2011,11660450.0
Archaeology,2015,200487.0
Archaeology,2016,2309087.0
Archaeology,2017,504868.0
Archaeology,2018,3204510.0
Archaeology & Anthropology,2017,302069.0
Archaeology Classics and Egyptology,2014,544731.0
Archaeology Classics and Egyptology,2015,145289.0
Archaeology Classics and Egyptology,2017,755011.0
"Archaeology, History and Anthropology",2017,73858.0
Architectural Studies,2015,454084.0
Architectural Studies,2016,82388.0
Architectural Studies,2017,266090.0
Architectural Studies,2018,282708.0
Architecture,2015,798986.0
Architecture,2017,826201.0
Architecture,2018,362391.0
Architecture Planning and Landscape,2017,598309.0
Architecture and Civil Engineering,2014,5560.0
Architecture and Civil Engineering,2015,614628.0
Architecture and Civil Engineering,2016,269315.0
Architecture and Civil Engineering,2017,4166702.0
Arctic Office,2018,1465849.0
Art,2017,80611.0
Art,2018,775988.0
"Art, Media and American Studies",2015,626992.0
"Art, Media and American Studies",2017,618994.0
"Art, Media and American Studies",2018,187231.0
Arts Languages and Cultures,2015,809165.0
Arts Languages and Cultures,2016,4876626.0
Arts Languages and Cultures,2017,1130795.0
Arts Languages and Cultures,2018,1729570.0
Arts and Creative Industries,2018,57966.0
Arts and Humanities,2016,159045.0
Asia,2016,755320.0
Asian and Middle Eastern Studies,2016,406417.0
Astbury Centre,2013,1217514.0
Astbury Centre,2016,1449460.0
Astbury Centre,2017,558007.0
Asthma Allergy and Lung Biology,2014,629186.0
Asthma Allergy and Lung Biology,2015,1483513.0
Aston Business School,2018,205262.0
Astronomy,2014,42201.0
Astronomy,2015,798765.0
Astronomy,2017,74539.0
Astronomy,2018,559934.0
Astronomy Unit,2015,1237643.0
Astronomy Unit,2016,197037.0
Astronomy Unit,2017,2009566.0
Astrophysics Research Institute,2014,212601.0
Astrophysics Research Institute,2015,1892891.0
Astrophysics Research Institute,2016,20721.0
Astrophysics Research Institute,2017,959502.0
Astrophysics Research Institute,2018,2261289.0
Atmospheric Chemistry and Effects,2013,254640.0
Atmospheric Chemistry and Effects,2015,325043.0
Atmospheric Chemistry and Effects,2016,2389238.0
Atmospheric Chemistry and Effects,2017,32310.0
Atmospheric Chemistry and Effects,2018,39648.0
Automatic Control and Systems Eng,2014,1514012.0
Automatic Control and Systems Eng,2016,234536.0
Automatic Control and Systems Eng,2017,695772.0
Automatic Control and Systems Eng,2018,2768018.0
Avian Viral Diseases,2014,1681920.0
Avian Viral Diseases,2015,359857.0
Avian Viral Diseases,2016,1917230.0
Avian Viral Diseases,2017,497793.0
Avian Viral Diseases,2018,2692765.0
BGS Global,2017,5891200.0
BGS Laboratories,2016,126593.0
BGS Laboratories,2017,99549.0
BHS School Management,2015,103042.0
BP Institute,2016,477779.0
Bartlett Sch of Architecture,2015,4000601.0
Bartlett Sch of Architecture,2016,568475.0
Bartlett Sch of Architecture,2017,202068.0
Bartlett Sch of Architecture,2018,198280.0
Bartlett Sch of Const & Proj Management,2017,150295.0
Bartlett Sch of Const & Proj Management,2018,2260704.0
"Bartlett Sch of Env, Energy & Resources",2013,7429728.0
"Bartlett Sch of Env, Energy & Resources",2014,8965040.0
"Bartlett Sch of Env, Energy & Resources",2015,3364999.0
"Bartlett Sch of Env, Energy & Resources",2016,788542.0
"Bartlett Sch of Env, Energy & Resources",2017,8714923.0
"Bartlett Sch of Env, Energy & Resources",2018,1183282.0
Bartlett Sch of Planning,2017,329374.0
Barts Cancer Institute,2015,2042220.0
Barts Cancer Institute,2016,1110105.0
Barts Cancer Institute,2017,1218815.0
Barts Cancer Institute,2018,980560.0
Behavioural Science and Health,2018,1165288.0
Bentham Project,2016,483084.0
Biochemical Engineering,2012,3457969.0
Biochemical Engineering,2014,5456713.0
Biochemical Engineering,2015,3915898.0
Biochemical Engineering,2016,1519555.0
Biochemical Engineering,2017,11818392.0
Biochemical Engineering,2018,7405368.0
Biochemistry,2012,3147169.0
Biochemistry,2013,5054755.0
Biochemistry,2014,5111199.0
Biochemistry,2015,11255331.0
Biochemistry,2016,13800546.0
Biochemistry,2017,10605593.0
Biochemistry,2018,14283764.0
Biochemistry & Physiology,2016,706844.0
Biochemistry & Physiology,2017,192951.0
Biocomposites Centre,2016,667317.0
Biodiversity (Penicuik),2014,312010.0
Biodiversity (Wallingford),2016,6019452.0
Biodiversity (Wallingford),2017,637829.0
Biodiversity (Wallingford),2018,14469.0
Bioinformatics,2015,95042.0
Biointeractions and Crop Protection,2015,317725.0
Biointeractions and Crop Protection,2016,966734.0
Biointeractions and Crop Protection,2017,305266.0
Biointeractions and Crop Protection,2018,570781.0
Biological Chemistry,2015,95042.0
Biological Chemistry,2016,1704755.0
Biological Chemistry,2017,647988.0
Biological Chemistry,2018,90000.0
Biological Sciences,2013,2156157.0
Biological Sciences,2014,199879.0
Biological Sciences,2015,6039900.0
Biological Sciences,2016,11597391.0
Biological Sciences,2017,11608336.0
Biological Sciences,2018,9741562.0
Biological Services,2017,522227.0
Biological and Environmental Sciences,2012,632016.0
Biological and Environmental Sciences,2013,460292.0
Biological and Environmental Sciences,2014,462976.0
Biological and Environmental Sciences,2015,802422.0
Biological and Environmental Sciences,2016,86776.0
Biological and Environmental Sciences,2017,1490339.0
Biological and Environmental Sciences,2018,575459.0
Biology,2014,9311885.0
Biology,2015,8624933.0
Biology,2016,10573189.0
Biology,2017,5311964.0
Biology,2018,13974111.0
Biology and Biochemistry,2015,778233.0
Biology and Biochemistry,2016,2693103.0
Biology and Biochemistry,2017,3145198.0
Biology and Biochemistry,2018,707201.0
Biomedical Engineering,2014,4097770.0
Biomedical Engineering,2017,471991.0
Biomedical Engineering,2018,389482.0
Biomedical Imaging CDT,2014,3868694.0
Biomedical Science,2014,4704456.0
Biomedical Science,2015,909913.0
Biomedical Science,2016,1456130.0
Biomedical Science,2017,1461268.0
Biomedical Science,2018,1314592.0
Biomedical Sciences,2016,1118913.0
Biomedical Sciences,2017,541881.0
Biosciences,2013,314081.0
Biosciences,2014,1923352.0
Biosciences,2015,3346122.0
Biosciences,2016,7014989.0
Biosciences,2017,7435375.0
Biosciences,2018,9084912.0
Biostatistics,2014,2321030.0
Biostatistics,2016,2618711.0
Biostatistics,2018,541305.0
Blavatnik School of Government,2015,521634.0
Blavatnik School of Government,2016,447761.0
Blizard Institute of Cell and Molecular,2015,5104520.0
Blizard Institute of Cell and Molecular,2016,557335.0
Blizard Institute of Cell and Molecular,2017,4135490.0
Blizard Institute of Cell and Molecular,2018,2401286.0
Board of Graduate Studies,2011,9942953.0
Board of Graduate Studies,2014,8338497.0
Board of Graduate Studies,2015,8111106.0
Board of Graduate Studies,2016,14741055.0
Board of Graduate Studies,2017,2498880.0
Botnar Research Centre,2016,1171138.0
Botnar Research Centre,2017,200464.0
Brazil Institute,2016,123825.0
Brighton and Sussex Medical School,2018,697866.0
Bristol Robotics Laboratory,2014,340337.0
Bristol Robotics Laboratory,2018,548391.0
British Trust for Ornithology (Norfolk),2018,127632.0
Built Enviroment,2017,905407.0
Built Enviroment,2018,110492.0
Built Environment and Engineering,2015,301001.0
Business,2016,212558.0
Business School,2015,26412.0
Business School,2016,349168.0
Business School,2017,573662.0
Business School,2018,1143227.0
Business Support Services,2011,362031.0
Business and Economics,2018,1265990.0
CCW Grad School,2018,46134.0
CEFAS Lowestoft Laboratory,2013,1171890.0
CEFAS Lowestoft Laboratory,2014,581489.0
CEFAS Lowestoft Laboratory,2017,203259.0
CEFAS Lowestoft Laboratory,2018,274343.0
CEO,2018,6063.0
CEO's Office,2017,335798.0
CIMR Medicine,2017,375177.0
CIMR Medicine,2018,1009543.0
CIRAD Paris,2015,151872.0
CNRM (UMR 3589),2015,172282.0
CPR Survey,2015,299034.0
CPR Survey,2017,188249.0
CREATe,2017,161730.0
CRUK Cambridge Research Institute,2017,197554.0
CRUK Cancer Trials Centre,2018,1040480.0
CRUK/MRC Oxford Inst for Radiation Oncol,2013,3276606.0
CRUK/MRC Oxford Inst for Radiation Oncol,2015,332508.0
Camborne School of Mines,2015,945544.0
Camborne School of Mines,2016,1802014.0
Camborne School of Mines,2018,383022.0
Cambridge Centre for Brain Repair,2017,236007.0
Cambridge Institute for Medical Research,2014,3383492.0
Cambridge Institute for Medical Research,2015,79738.0
Cambridge Institute for Medical Research,2016,1688872.0
Cambridge Institute for Medical Research,2017,463419.0
Cambridge Institute for Medical Research,2018,726496.0
Cancer Biology,2016,1467952.0
Cancer Biology,2017,653048.0
Cancer Biology,2018,350987.0
Cancer Epidemiology Unit,2013,4436507.0
Cancer Epidemiology Unit,2015,402643.0
Cancer Genetics and Genomics,2018,188804.0
Cancer Research UK Cambridge Institute,2014,208389.0
Cancer Research UK Cambridge Institute,2017,292405.0
Cancer Research UK Cambridge Institute,2018,1208719.0
Cancer Sciences,2013,1095223.0
Cancer Sciences,2015,554336.0
Cancer Sciences,2016,2156882.0
Cancer Sciences,2017,3097750.0
Cancer Studies,2014,894964.0
Cancer Studies,2016,863298.0
Cancer Studies,2017,7202748.0
Cancer Studies,2018,599491.0
Cancer Studies and Molecular Medicine,2015,95042.0
Cancer Studies and Molecular Medicine,2017,98212.0
Cape Town,2015,177348.0
Cardiff Business School,2014,1597842.0
Cardiff Business School,2017,5753146.0
Cardiff Business School,2018,487256.0
Cardiff Law School,2015,174990.0
Cardiff Law School,2017,497681.0
Cardiff Law School,2018,296783.0
Cardiff School of Art and Design,2017,59000.0
Cardiff School of Planning and Geography,2016,907098.0
Cardiff School of Planning and Geography,2018,53575.0
Cardiovascular,2015,3465237.0
Cardiovascular,2017,844823.0
Cardiovascular,2018,1706897.0
Cardiovascular Sciences,2015,2066224.0
Cardiovascular Sciences,2016,774939.0
Cardiovascular Sciences,2018,452885.0
Cardiovascular and Diabetes Medicine,2015,533073.0
Cell & Molecular Sciences,2013,624435.0
Cell Physiology and Pharmacology,2015,2038672.0
Cell and Develop Biology,2014,3605640.0
Cell and Develop Biology,2015,1018421.0
Cell and Develop Biology,2016,381592.0
Cell and Develop Biology,2017,1767337.0
Cell and Develop Biology,2018,35610.0
Cell and Developmental Biology,2014,1779991.0
Cell and Developmental Biology,2015,1942544.0
Cell and Developmental Biology,2016,816491.0
Cell and Developmental Biology,2018,3016331.0
Cellular Genetics,2017,247784.0
Cellular Genetics,2018,364577.0
Cellular Medicine,2016,1583259.0
Cellular Medicine,2017,448620.0
Cellular and Molecular Medicine,2013,796658.0
Cellular and Molecular Medicine,2015,412230.0
Cellular and Molecular Medicine,2016,3019210.0
Cellular and Molecular Medicine,2017,776363.0
Cellular and Molecular Medicine,2018,5787325.0
Cellular and Molecular Physiology,2016,1792688.0
Cellular and Molecular Physiology,2018,1004153.0
Central Laser Facility (CLF),2017,613288.0
Central Laser Facility (CLF),2018,272899.0
Central Research Support,2013,68648.0
Central Saint Martin's College,2017,299280.0
Central Saint Martin's College,2018,253679.0
Centre Cogn Ageing and Cogn Epidemiology,2013,3048996.0
Centre Cogn Ageing and Cogn Epidemiology,2015,1052368.0
Centre Cogn Ageing and Cogn Epidemiology,2016,480915.0
Centre Cogn Ageing and Cogn Epidemiology,2018,596355.0
Centre For Business Research,2017,314347.0
Centre for Adv. Welsh and Celtic Studies,2014,785783.0
"Centre for Agroecology, Water and Resili",2018,344098.0
Centre for Analysis of Risk & Regulation,2016,473105.0
Centre for Applied Human Rights,2016,242477.0
Centre for Biophotonics,2013,1542107.0
Centre for Biophotonics,2018,150982.0
Centre for Cancer Res and Cell Biology,2018,715694.0
Centre for Cardiovascular Science,2013,620323.0
Centre for Cardiovascular Science,2015,1809775.0
Centre for Cardiovascular Science,2016,807446.0
Centre for Cardiovascular Science,2018,198196.0
Centre for Clinical Brain Sciences,2013,2380758.0
Centre for Clinical Brain Sciences,2016,1817579.0
Centre for Clinical Brain Sciences,2017,749993.0
Centre for Clinical Brain Sciences,2018,415593.0
Centre for Cultural Policy Studies,2018,24248.0
Centre for Discovery Brain Sciences,2015,659988.0
Centre for Discovery Brain Sciences,2016,4555748.0
Centre for Discovery Brain Sciences,2017,678183.0
Centre for Discovery Brain Sciences,2018,2203403.0
Centre for Economic Performance,2015,6702050.0
Centre for Economic Performance,2017,1009151.0
Centre for Economic Performance,2018,683033.0
Centre for Ecosystems Soc and Biosecur,2016,1002046.0
Centre for Environment & Sustainability,2014,190920.0
Centre for Environment & Sustainability,2016,4843923.0
Centre for Experimental Medicine,2015,4836444.0
Centre for Experimental Medicine,2016,905588.0
Centre for Experimental Medicine,2017,2676183.0
Centre for Experimental Medicine,2018,860457.0
Centre for Family Research,2015,407737.0
Centre for HCI Design,2017,496293.0
Centre for Health Economics,2016,369438.0
Centre for Health Economics,2017,5678870.0
Centre for Health Economics,2018,830081.0
Centre for Interdisc. Methodologies,2018,494532.0
Centre for Macro-Economics,2018,982985.0
Centre for Molecular Medicine,2015,1990267.0
Centre for Public Health,2013,8939635.0
Centre for Public Health,2016,146320.0
Centre for Public Health,2017,597126.0
Centre for Public Health,2018,4304321.0
Centre for Research,2013,753363.0
Centre for Research,2014,24331.0
Centre for Research,2015,517795.0
Centre for Research,2016,3832019.0
Centre for Research,2017,2998670.0
Centre for Research,2018,4074596.0
Centre for Scandinavian Studies,2017,143317.0
Centre for Speech Technology Research,2016,533267.0
Centre for Speech Technology Research,2017,964678.0
Centre for Trust Peace & Social Relation,2016,79702.0
Centre for Trust Peace & Social Relation,2017,80571.0
Centre for Trust Peace & Social Relation,2018,480572.0
"Centre for Women, Peace and Security",2018,724533.0
Centre for the Analysis of Social Exclus,2016,318267.0
Centre for the Analysis of Time Series,2017,35866.0
Centre for the Analysis of Time Series,2018,258417.0
Centre for the Study of Globalisation an,2014,1169767.0
Centre of Population Health Sciences,2013,3328501.0
Centre of Population Health Sciences,2014,1992451.0
Centre of Population Health Sciences,2018,1187270.0
Chancellor College,2015,128674.0
Chem Eng and Analytical Science,2016,3769971.0
Chem Eng and Analytical Science,2017,6726081.0
Chem Eng and Analytical Science,2018,4514645.0
Chemical & Biological Engineering,2013,4859494.0
Chemical & Biological Engineering,2014,4680504.0
Chemical & Biological Engineering,2015,410517.0
Chemical & Biological Engineering,2016,2505365.0
Chemical & Biological Engineering,2017,650840.0
Chemical & Biological Engineering,2018,1448702.0
Chemical Engineering,2013,6133991.0
Chemical Engineering,2014,12480582.0
Chemical Engineering,2015,9120780.0
Chemical Engineering,2016,10916487.0
Chemical Engineering,2017,4975312.0
Chemical Engineering,2018,26557346.0
Chemical Engineering & Advanced Material,2016,326440.0
Chemical Engineering and Biotechnology,2014,5147046.0
Chemical Engineering and Biotechnology,2015,1134479.0
Chemical Engineering and Biotechnology,2016,2277674.0
Chemical Engineering and Biotechnology,2017,98212.0
Chemical Engineering and Biotechnology,2018,1683518.0
Chemical Sciences,2018,93953.0
Chemical and Process Engineering,2014,14940480.0
Chemical and Process Engineering,2015,3621747.0
Chemical and Process Engineering,2016,1504336.0
Chemical and Process Engineering,2017,666966.0
Chemical and Process Engineering,2018,11357190.0
Chemistry,2012,9093073.0
Chemistry,2013,22952764.0
Chemistry,2014,96736777.0
Chemistry,2015,34059882.0
Chemistry,2016,43951033.0
Chemistry,2017,66570117.0
Chemistry,2018,67658675.0
Child and Adolescent Psychiatry,2017,1376035.0
Child and Adolescent Psychiatry,2018,441132.0
Civil & Environmental Engineering,2014,3820871.0
Civil & Environmental Engineering,2015,613965.0
Civil & Environmental Engineering,2016,11418367.0
Civil & Environmental Engineering,2017,4671999.0
Civil & Environmental Engineering,2018,5749118.0
Civil Engineering,2013,518439.0
Civil Engineering,2014,1726077.0
Civil Engineering,2015,1441159.0
Civil Engineering,2016,6336925.0
Civil Engineering,2017,42936485.0
Civil Engineering,2018,3199489.0
Civil Engineering and Industrial Design,2016,567769.0
Civil Engineering and Industrial Design,2018,850502.0
Civil Environmental and Geomatic Eng,2013,1633786.0
Civil Environmental and Geomatic Eng,2014,686361.0
Civil Environmental and Geomatic Eng,2015,488016.0
Civil Environmental and Geomatic Eng,2016,1524684.0
Civil Environmental and Geomatic Eng,2017,1857212.0
Civil Environmental and Geomatic Eng,2018,2313194.0
Civil and Building Engineering,2012,1547189.0
Civil and Building Engineering,2017,1311853.0
Civil and Building Engineering,2018,848275.0
Civil and Environmental Engineering,2016,532836.0
Civil and Environmental Engineering,2017,439432.0
Civil and Environmental Engineering,2018,3127814.0
Civil and Structural Engineering,2016,9225648.0
Civil and Structural Engineering,2017,439080.0
Civil and Structural Engineering,2018,3136698.0
Classics,2017,200301.0
Classics,2018,50035.0
Classics Faculty,2015,797134.0
Classics Faculty,2016,796682.0
Classics Faculty,2018,150388.0
Classics and Ancient History,2018,190830.0
Climate & Landscape Change,2016,842947.0
"Climate Change, Enviroment and Forests",2018,144579.0
Climate Science,2015,864022.0
Clinical   Health and Educational Psych,2014,477509.0
Clinical   Health and Educational Psych,2016,602918.0
Clinical   Health and Educational Psych,2017,1620857.0
Clinical   Health and Educational Psych,2018,872094.0
Clinical Biochemistry,2017,551172.0
Clinical Dentistry,2015,95042.0
Clinical Experimental Medicine,2016,165233.0
Clinical Health Sciences,2016,32931.0
Clinical Medicine,2018,386140.0
Clinical Neuroscience,2013,3714868.0
Clinical Neuroscience,2016,644071.0
Clinical Neuroscience,2017,534648.0
Clinical Neuroscience,2018,893263.0
Clinical Neurosciences,2013,4396628.0
Clinical Neurosciences,2014,3257543.0
Clinical Neurosciences,2015,737129.0
Clinical Neurosciences,2016,4338372.0
Clinical Neurosciences,2017,6756611.0
Clinical Neurosciences,2018,9554811.0
Clinical Research Unit,2017,195953.0
Clinical School,2016,384614.0
Clinical Science at North Bristol,2017,1040597.0
Clinical Science at North Bristol,2018,2561602.0
Clinical Science at South Bristol,2016,1373790.0
Clinical Science at South Bristol,2018,1847579.0
Clinical Sciences,2014,639749.0
Clinical Sciences,2015,5843123.0
Clinical Sciences,2016,386595.0
Clinical Sciences,2017,2017348.0
Clinical Sciences,2018,3158669.0
Clinical Sciences and Services,2014,1731024.0
Clinical Sciences and Services,2015,1765272.0
Clinical Sciences and Services,2016,22180.0
Clinical Sciences and Services,2017,913632.0
Clinical Sciences and Services,2018,1810077.0
Clinical Trial Service Unit,2017,604988.0
Clinical Trial Service Unit,2018,937351.0
Clinical Veterinary Science,2016,986667.0
Clinical Veterinary Science,2017,604167.0
Clinical Veterinary Science,2018,132418.0
Clinical and Diagnostic Sciences,2016,589810.0
Clinical and Experimental Medicine,2016,3723092.0
Clinical and Experimental Sciences,2015,424841.0
Clinical and Experimental Sciences,2016,484590.0
Clinical and Experimental Sciences,2017,2359802.0
Clinical and Experimental Sciences,2018,1432290.0
Coasts,2016,120437.0
College of Arts,2015,1655128.0
College of Arts,2017,201452.0
College of Arts,2018,1176544.0
College of Engineering & Technology,2017,13823.0
College of Human and Health Sciences,2018,126600.0
College of Liberal Arts,2014,766260.0
College of Liberal Arts,2016,210907.0
College of Liberal Arts,2017,24022.0
College of Life & Natural Sciences,2018,76275.0
"College of Medical, Veterinary &Life Sci",2011,4278943.0
"College of Medical, Veterinary &Life Sci",2012,532673.0
"College of Medical, Veterinary &Life Sci",2013,4311577.0
"College of Medical, Veterinary &Life Sci",2014,6313281.0
"College of Medical, Veterinary &Life Sci",2015,11837165.0
"College of Medical, Veterinary &Life Sci",2016,13972520.0
"College of Medical, Veterinary &Life Sci",2017,16856779.0
"College of Medical, Veterinary &Life Sci",2018,15366205.0
College of Medicine & Vet Medicine,2017,96696.0
College of Medicine & Vet Medicine,2018,300252.0
"College of Nursing, Midwifery and Health",2018,79860.0
College of Science,2013,1955980.0
College of Science,2014,717372.0
College of Science,2015,3465694.0
College of Science,2016,2083108.0
College of Science,2017,4965376.0
College of Science,2018,3659390.0
College of Science and Engineering,2013,5191661.0
College of Science and Engineering,2014,9340549.0
College of Science and Engineering,2015,3786744.0
College of Science and Engineering,2016,6169176.0
College of Science and Engineering,2017,3953058.0
College of Science and Engineering,2018,7539135.0
College of Social Sci Res Support Office,2017,375520.0
College of Social Sciences,2017,7157832.0
College of Social Sciences,2018,1285937.0
Communication and Media,2018,206324.0
Communications Systems Res CCSR,2016,1352226.0
Communications Systems Res CCSR,2017,901055.0
Community Health,2017,148294.0
Comparative Biomedical Sciences CBS,2015,103042.0
Comparative Biomedical Sciences CBS,2016,884690.0
Comparative Biomedical Sciences CBS,2017,1193308.0
Comparative Biomedical Sciences CBS,2018,352623.0
Computational Genomics,2016,259873.0
Computational and Systems Biology,2016,369600.0
Computational and Systems Biology,2017,752055.0
Computer Laboratory,2013,6787910.0
Computer Laboratory,2015,1975496.0
Computer Laboratory,2016,96281.0
Computer Laboratory,2017,2281294.0
Computer Laboratory,2018,707889.0
Computer Sci and Electronic Engineering,2015,675875.0
Computer Sci and Electronic Engineering,2016,519258.0
Computer Sci and Electronic Engineering,2017,189195.0
Computer Sci and Electronic Engineering,2018,291135.0
Computer Science,2011,2206798.0
Computer Science,2012,6834903.0
Computer Science,2013,9555935.0
Computer Science,2014,22544888.0
Computer Science,2015,27918405.0
Computer Science,2016,27765208.0
Computer Science,2017,19333026.0
Computer Science,2018,25478891.0
Computer Science and Information Systems,2017,186144.0
Computer Technology,2016,44044.0
Computer and Information Sciences,2015,499631.0
Computer and Information Sciences,2018,369232.0
Computing,2016,1687680.0
Computing,2017,200783.0
Computing,2018,366412.0
Computing & Communications,2013,68648.0
Computing & Communications,2014,1364305.0
Computing & Communications,2015,2174780.0
Computing & Communications,2016,5048578.0
Computing & Communications,2017,2961671.0
Computing & Communications,2018,856962.0
"Computing & Information Systems, FACH",2017,88508.0
Computing Department,2017,261008.0
Computing Department,2018,1283263.0
Computing Science,2015,310839.0
Computing Science,2016,1174057.0
Computing Science,2017,1719734.0
Computing Science,2018,406720.0
Computing Science and Mathematics,2015,418261.0
Computing Sciences,2015,778330.0
Computing Sciences,2017,29625.0
Computing Sciences,2018,557530.0
Computing and Mathematical Sciences,2016,96696.0
Computing and Mathematical Sciences,2018,99892.0
Conservation and Scientific Research,2017,78375.0
Construction Management and Engineering,2018,573807.0
Contemporary,2018,42191.0
Contemporary Art Practice,2018,215601.0
Continuing Education,2017,544325.0
Contracts Office,2017,2058218.0
Contracts Office,2018,820602.0
Country Programmes,2018,559495.0
Cranfield Defence and Security,2017,150944.0
Cranfield Defence and Security,2018,1769795.0
Craniofacial Dev Orthodon and Microbiol,2015,583629.0
Craniofacial Dev Orthodon and Microbiol,2016,379703.0
Craniofacial Dev Orthodon and Microbiol,2017,1062485.0
Craniofacial Dev Orthodon and Microbiol,2018,90000.0
Craniofacial Dev and Stem Cell Biology,2016,104696.0
Craniofacial Dev and Stem Cell Biology,2017,230299.0
Craniofacial Dev and Stem Cell Biology,2018,2239538.0
Criminology,2016,354981.0
Criminology,2017,800283.0
Criminology,2018,121327.0
Crop Genetics,2014,598609.0
Crop Genetics,2015,955600.0
Crop Genetics,2016,1574395.0
Crop Genetics,2017,4630395.0
Crop Genetics,2018,3548859.0
Crops and Environment Sciences,2014,154848.0
Crops and Environment Sciences,2015,190084.0
Crops and Environment Sciences,2017,30930.0
Ctr for Advanced Solidification Tech,2015,593690.0
Ctr for Advances in Behavioural Science,2017,151573.0
Ctr for Built & Natural Environment,2013,669208.0
Ctr for Dance Research,2018,49239.0
Ctr for Flow Measure & Fluid Mechanics,2017,1162276.0
Ctr for Flow Measure & Fluid Mechanics,2018,100987.0
Ctr for Plant Sciences,2014,544706.0
Ctr for Plant Sciences,2015,203293.0
Ctr for Plant Sciences,2016,461759.0
Ctr for Plant Sciences,2017,616274.0
Ctr for Plant Sciences,2018,895248.0
Ctr for Res on Higher Education & Dev,2016,670903.0
"Ctr for Sport, Exercise and Life Science",2016,178070.0
Ctr of Human & Aerospace Physiolog Sci,2016,487649.0
Ctr of Human & Aerospace Physiolog Sci,2017,195911.0
Culham Centre for Fusion Energy,2016,5000000.0
Cultural Institute,2017,80302.0
Cultural Studies and Humanities,2016,342699.0
Culture Media and Creative Industries,2016,48459.0
Culture Media and Creative Industries,2017,156710.0
"Culture, Communication and Media",2016,113881.0
"Culture, Communication and Media",2017,773695.0
"Culture, Place and Policy Institute",2018,135393.0
DIADE (Diversity Adapt Plant Dev),2015,115743.0
Dental Institute,2017,634243.0
Dental Institute,2018,569924.0
Dentistry,2015,1504008.0
Dentistry,2016,406496.0
Dentistry,2017,628264.0
Dentistry,2018,99034.0
Dep. of Earth and Environmental Sciences,2016,318780.0
Department for Health,2015,437543.0
Department for Health,2018,567469.0
Department of Chemical Engineering,2014,1616109.0
Department of Chemical Engineering,2015,2414699.0
Department of Chemical Engineering,2016,4006966.0
Department of Chemical Engineering,2017,1350294.0
Department of Chemical Engineering,2018,2543622.0
Department of International Development,2016,941223.0
