,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,Region
133,NERC,University of Liverpool,Geography and Planning,Research Grant,01/05/2016,31/01/2021,381753.0,North West
134,NERC,Lancaster University,Lancaster Environment Centre,Research Grant,01/04/2016,31/03/2019,154318.0,North West
135,BBSRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,01/10/2014,31/03/2019,2738706.0,Scotland
136,Innovate UK,Nu Nano Ltd,,GRD Development of Prototype,01/04/2017,31/03/2019,216496.0,South West
137,Innovate UK,Nextek Limited,,Collaborative R&D,01/10/2016,30/09/2019,437156.0,South East
138,BBSRC,University of Manchester,Chemistry,Research Grant,01/11/2016,31/10/2019,346806.0,North West
139,BBSRC,University of Birmingham,Immunity and Infection,Research Grant,02/03/2015,01/03/2020,566019.0,West Midlands
140,STFC,Northumbria University,Fac of Engineering and Environment,Research Grant,01/06/2014,31/12/2018,36304.0,North East
141,EPSRC,Northumbria University,Fac of Engineering and Environment,Research Grant,26/11/2018,25/11/2021,346666.0,North East
142,STFC,University of Leicester,Physics and Astronomy,Research Grant,01/04/2016,31/03/2020,2292308.0,East Midlands
143,BBSRC,University of East Anglia,School of Psychology,Research Grant,10/01/2018,09/01/2021,392417.0,East of England
147,NERC,University of Bristol,Earth Sciences,Research Grant,01/09/2016,31/08/2021,641495.0,South West
150,EPSRC,Newcastle University,Sch of Engineering,Research Grant,01/01/2018,31/12/2020,420710.0,North East
155,EPSRC,University of Surrey,Communications Systems Res CCSR,Research Grant,23/03/2017,25/10/2018,673435.0,South East
156,EPSRC,University of Edinburgh,Sch of Chemistry,Research Grant,01/08/2017,31/07/2019,202084.0,Scotland
157,STFC,University of Manchester,Physics and Astronomy,Research Grant,01/10/2015,30/09/2019,4030852.0,North West
158,ESRC,London School of Economics & Pol Sci,Sociology,Fellowship,01/10/2018,30/09/2019,99668.0,London
159,STFC,University of Manchester,Physics and Astronomy,Research Grant,01/04/2017,31/03/2020,355859.0,North West
162,NERC,University of Strathclyde,Mathematics and Statistics,Research Grant,01/05/2017,30/04/2021,468711.0,Scotland
163,Innovate UK,University of Leeds,,Knowledge Transfer Partnership,01/01/2017,30/06/2019,143063.0,Yorkshire and The Humber
167,BBSRC,University of Edinburgh,Sch of Chemistry,Training Grant,01/10/2015,30/09/2019,95042.0,Scotland
168,EPSRC,University of Birmingham,School of Chemistry,Training Grant,01/04/2014,30/09/2022,3509929.0,West Midlands
171,BBSRC,University of Birmingham,School of Chemistry,Training Grant,01/10/2017,30/09/2021,98212.0,West Midlands
172,Innovate UK,Enocell Limited,,EU-Funded,01/06/2017,31/05/2019,303201.0,Scotland
173,NERC,NERC British Geological Survey,BGS Global,Research Grant,01/07/2017,30/06/2020,5891200.0,East Midlands
174,MRC,Liverpool School of Tropical Medicine,Vector Biology,Research Grant,01/10/2017,31/12/2021,6325569.0,North West
175,BBSRC,University of Bath,Biology and Biochemistry,Training Grant,01/10/2017,30/09/2021,98212.0,South West
178,EPSRC,University of Cambridge,Engineering,Research Grant,01/07/2017,30/06/2019,101140.0,East of England
180,EPSRC,University of Liverpool,"Mech, Materials & Aerospace Engineering",Fellowship,01/11/2015,31/10/2020,807008.0,North West
181,EPSRC,University of Hull,Chemistry,Research Grant,01/01/2018,31/12/2019,100745.0,Yorkshire and The Humber
182,ESRC,University of Dundee,Population Health and Genomics,Research Grant,01/10/2017,30/09/2021,951309.0,Scotland
183,EPSRC,University of Surrey,Vision Speech and Signal Proc CVSSP,Research Grant,01/08/2017,31/07/2022,1577222.0,South East
184,EPSRC,University College London,Surgery,Research Grant,01/09/2015,31/05/2019,870392.0,London
185,EPSRC,University of Huddersfield,Research and Enterprise,Training Grant,01/10/2018,30/09/2023,169698.0,Yorkshire and The Humber
187,MRC,University of Leicester,Infection Immunity and Inflammation,Research Grant,01/12/2016,30/11/2019,480208.0,East Midlands
188,MRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,14/02/2018,13/02/2021,323270.0,Scotland
190,BBSRC,King's College London,Dental Institute,Research Grant,03/04/2017,02/04/2020,201970.0,London
194,EPSRC,King's College London,King's College London Central Offices,Training Grant,01/10/2016,30/09/2021,1994762.0,London
196,NERC,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,31/10/2017,30/11/2018,86272.0,West Midlands
197,AHRC,University of Winchester,History,Research Grant,01/10/2017,31/03/2019,34538.0,South East
199,NERC,University of Manchester,Mechanical Aerospace and Civil Eng,Research Grant,01/07/2017,30/06/2019,161686.0,North West
200,EPSRC,Newcastle University,Sch of Engineering,Research Grant,01/06/2016,31/05/2019,240010.0,North East
203,MRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,03/10/2016,02/10/2019,236718.0,Scotland
206,BBSRC,Rothamsted Research,Biointeractions and Crop Protection,Research Grant,01/04/2018,31/03/2019,64376.0,East of England
209,Innovate UK,University of Warwick,,CRD,01/09/2018,31/01/2019,99560.0,West Midlands
213,BBSRC,University of Oxford,Psychiatry,Fellowship,01/10/2018,30/09/2021,304884.0,South East
215,MRC,University College London,Institute of Child Health,Fellowship,01/06/2014,31/12/2018,212983.0,London
216,AHRC,University of Cambridge,Asian and Middle Eastern Studies,Research Grant,01/10/2016,31/12/2019,406417.0,East of England
222,NERC,University of Cambridge,Earth Sciences,Research Grant,01/05/2016,30/04/2020,638525.0,East of England
226,BBSRC,King's College London,Chemistry,Research Grant,01/07/2016,30/06/2019,354242.0,London
228,EPSRC,University of Liverpool,Student Administration and Support,Training Grant,01/10/2013,30/09/2018,205944.0,North West
231,MRC,University of Nottingham,School of Life Sciences,Research Grant,07/08/2018,06/11/2019,686925.0,East Midlands
233,NERC,Loughborough University,Geography,Research Grant,01/03/2018,31/05/2019,100837.0,East Midlands
235,EPSRC,Imperial College London,Department of Chemical Engineering,Fellowship,01/07/2016,30/06/2021,1015843.0,London
236,Innovate UK,Fgv Cambridge Nanosystems Limited,,Feasibility Studies,01/06/2017,31/05/2018,361426.0,East of England
238,EPSRC,Aston University,Unlisted,Training Grant,01/10/2018,30/09/2023,496316.0,West Midlands
239,EPSRC,University of Liverpool,Chemistry,Research Grant,01/04/2017,31/03/2019,10000000.0,North West
241,STFC,King's College London,Cancer Studies,Research Grant,29/01/2018,31/03/2019,71879.0,London
243,EPSRC,University of Sussex,Research Finance,Training Grant,01/10/2014,30/09/2018,406646.0,South East
244,BBSRC,Harper Adams University,Crops and Environment Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,West Midlands
245,STFC,University College London,Physics and Astronomy,Research Grant,01/10/2018,30/06/2019,316000.0,London
246,NERC,University of Reading,Meteorology,Research Grant,26/06/2017,25/06/2021,626133.0,South East
247,Innovate UK,AccuRx Limited,,Collaborative R&D,01/03/2017,28/02/2019,398735.0,London
248,BBSRC,The Pirbright Institute,Livestock Viral Diseases,Training Grant,05/10/2015,04/10/2019,95042.0,South East
249,BBSRC,SRUC,Research,Research Grant,02/12/2018,01/12/2021,278781.0,Scotland
250,Innovate UK,Orthox Limited,,Collaborative R&D,01/06/2015,28/02/2019,1493192.0,South East
251,BBSRC,University of Liverpool,Institute of Infection and Global Health,Research Grant,01/12/2018,30/11/2021,274977.0,North West
253,AHRC,Northumbria University,Fac of Engineering and Environment,Research Grant,04/12/2017,17/12/2018,60152.0,North East
254,STFC,Durham University,Physics,Research Grant,01/04/2018,31/03/2020,157381.0,North East
261,EPSRC,King's College London,Research Grants & Contracts,Training Grant,01/10/2016,30/09/2021,81430.0,London
262,Innovate UK,Altenergis Plc,,Feasibility Studies,01/09/2017,31/12/2018,169761.0,London
264,STFC,University College London,Physics and Astronomy,Research Grant,01/04/2018,31/03/2021,1308813.0,London
266,Innovate UK,University of Oxford,,BIS-Funded Programmes,01/02/2018,31/01/2022,6125255.0,South East
267,NERC,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,06/01/2014,06/01/2019,442072.0,West Midlands
268,EPSRC,Newcastle University,Institute of Neuroscience,Other Grant,01/05/2014,30/04/2021,4980966.0,North East
272,EPSRC,University of Liverpool,Chemistry,Fellowship,01/01/2018,31/12/2020,627696.0,North West
273,Innovate UK,Bfb Labs Ltd,,Collaborative R&D,01/03/2018,30/11/2019,325031.0,London
274,NERC,University of Essex,Biological Sciences,Research Grant,01/01/2017,30/06/2020,622134.0,East of England
276,BBSRC,Cranfield University,"School of Water, Energy and Environment",Research Grant,01/07/2018,30/06/2021,901298.0,East of England
277,EPSRC,University of Oxford,Mathematical Institute,Research Grant,01/10/2016,30/09/2019,3000000.0,South East
278,MRC,Diamond Light Source,Science Division,Research Grant,01/04/2015,28/02/2019,585001.0,South East
279,EPSRC,University of Strathclyde,Electronic and Electrical Engineering,Research Grant,01/07/2017,31/12/2019,230626.0,Scotland
281,EPSRC,King's College London,Physics,Research Grant,31/03/2015,30/09/2018,340644.0,London
282,EPSRC,University of Kent,Sch of Engineering & Digital Arts,Research Grant,01/05/2018,30/04/2021,1289915.0,South East
285,Innovate UK,Emblation Limited,,Collaborative R&D,01/08/2017,31/10/2018,282632.0,Scotland
286,BBSRC,King's College London,Chemistry,Fellowship,01/03/2016,28/02/2019,300106.0,London
287,MRC,London Sch of Hygiene and Trop Medicine,Unlisted,Research Grant,01/10/2018,30/09/2022,851864.0,London
288,EPSRC,University of Cambridge,Materials Science & Metallurgy,Research Grant,16/11/2015,15/03/2020,390057.0,East of England
289,ESRC,King's College London,Social Genetic and Dev Psychiatry Centre,Research Grant,01/12/2016,30/11/2019,513560.0,London
292,Innovate UK,Avanti Communications Limited,,Collaborative R&D,01/12/2015,31/08/2018,2075472.0,London
293,AHRC,University of Warwick,Politics and International Studies,Research Grant,13/06/2016,31/12/2019,345074.0,West Midlands
294,BBSRC,University of York,Chemistry,Research Grant,19/10/2015,18/10/2020,400601.0,Yorkshire and The Humber
297,ESRC,King's College London,Psychology,Research Grant,01/03/2018,31/08/2019,159944.0,London
298,EPSRC,Northumbria University,Fac of Health and Life Sciences,Research Grant,01/11/2017,31/10/2020,164123.0,North East
300,Innovate UK,Far UK Ltd,,Collaborative R&D,01/03/2017,30/09/2019,1409129.0,East Midlands
301,Innovate UK,Xyz Reality Limited,,Feasibility Studies,01/09/2018,31/08/2019,430652.0,Unknown
304,MRC,University of Birmingham,Sch of Biosciences,Research Grant,01/06/2013,30/11/2018,1455452.0,West Midlands
305,EPSRC,Lancaster University,Mathematics and Statistics,Research Grant,16/04/2018,15/04/2023,2656400.0,North West
307,EPSRC,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,12/12/2013,11/12/2019,6009330.0,South East
309,EPSRC,Lancaster University,Engineering,Research Grant,01/04/2017,30/09/2019,211449.0,North West
312,EPSRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,01/10/2016,30/09/2019,224752.0,Scotland
314,MRC,University College London,Institute of Cognitive Neuroscience,Research Grant,16/11/2015,31/03/2019,523801.0,London
315,NERC,Imperial College London,Life Sciences,Research Grant,01/09/2018,28/02/2022,1311117.0,London
318,Innovate UK,Leeds Beckett University,,Knowledge Transfer Partnership,01/07/2017,30/06/2019,80207.0,Yorkshire and The Humber
320,NERC,University of Leicester,"Sch of Geog, Geol & the Environment",Research Grant,20/07/2015,30/11/2018,52315.0,East Midlands
321,EPSRC,University of Kent,Sch of Computing,Research Grant,21/04/2016,20/04/2019,273996.0,South East
322,STFC,University of Glasgow,School of Physics and Astronomy,Training Grant,01/10/2015,30/09/2020,1514614.0,Scotland
324,BBSRC,University of Bath,Biology and Biochemistry,Training Grant,01/10/2018,30/09/2022,99034.0,South West
325,Innovate UK,B-Hive Innovations Limited,,CRD,01/12/2018,30/11/2020,510688.0,East Midlands
326,EPSRC,University of Exeter,Engineering Computer Science and Maths,Research Grant,01/10/2016,30/09/2019,624706.0,South West
328,NERC,University of Glasgow,College of Science and Engineering,Fellowship,01/11/2014,31/10/2019,425506.0,Scotland
331,EPSRC,University of Southampton,School of Chemistry,Research Grant,01/12/2016,30/11/2019,557184.0,South East
332,ESRC,University of Sheffield,Politics,Research Grant,01/04/2016,31/03/2019,220347.0,Yorkshire and The Humber
335,NERC,University of Dundee,Geography and Environmental Science,Research Grant,01/09/2012,31/10/2018,396996.0,Scotland
336,BBSRC,University of Manchester,School of Medical Sciences,Training Grant,30/09/2015,29/09/2019,94126.0,North West
337,NERC,University of Exeter,Biosciences,Fellowship,01/06/2018,30/04/2020,211072.0,South West
338,EPSRC,University of Surrey,Vision Speech and Signal Proc CVSSP,Research Grant,02/01/2018,01/01/2023,980874.0,South East
339,STFC,Imperial College London,Dept of Physics,Research Grant,01/01/2017,30/06/2020,804194.0,London
340,AHRC,Aberystwyth University,International Politics,Research Grant,04/04/2017,03/06/2019,35935.0,Wales
342,BBSRC,University of Leeds,Ctr for Plant Sciences,Training Grant,01/10/2014,30/06/2020,188252.0,Yorkshire and The Humber
345,MRC,University of Warwick,Warwick Medical School,Research Grant,01/07/2016,30/06/2019,393260.0,West Midlands
347,AHRC,Newcastle University,School of Arts and Cultures,Research Grant,10/10/2016,31/12/2018,238459.0,North East
349,EPSRC,University College London,Biochemical Engineering,Training Grant,01/10/2015,30/09/2022,3709814.0,London
350,MRC,Imperial College London,Life Sciences,Research Grant,26/01/2018,25/01/2021,392500.0,London
351,ESRC,University of Birmingham,School of Chemistry,Research Grant,01/03/2018,31/03/2019,50243.0,West Midlands
354,BBSRC,University of Sheffield,Geography,Research Grant,01/04/2018,31/03/2021,300000.0,Yorkshire and The Humber
355,EPSRC,Lancaster University,Chemistry,Research Grant,05/03/2018,03/05/2019,89757.0,North West
358,EPSRC,University of Liverpool,Student Administration and Support,Training Grant,01/10/2014,30/09/2019,417144.0,North West
359,ESRC,London School of Economics & Pol Sci,International Relations,Research Grant,03/01/2017,28/02/2019,151518.0,London
360,Innovate UK,Project Andiamo Ltd,,Collaborative R&D,01/10/2017,30/09/2019,390095.0,London
361,NERC,NERC Centre for Ecology and Hydrology,Directors and Science Coordinators,Research Grant,01/04/2018,31/03/2023,22274234.0,South East
363,AHRC,University of Warwick,History,Research Grant,01/01/2018,31/12/2019,36417.0,West Midlands
364,MRC,University of Cambridge,Medicine,Research Grant,01/08/2016,31/07/2019,386860.0,East of England
366,EPSRC,University of St Andrews,Office of the Principal,Training Grant,01/10/2016,30/09/2021,1747258.0,Scotland
367,AHRC,London South Bank University,School of Arts and Creative Industries,Research Grant,01/02/2017,31/10/2018,34830.0,London
368,ESRC,University of Manchester,"Environment, Education and Development",Training Grant,01/04/2011,31/12/2018,301269.0,North West
369,STFC,University of Sheffield,Physics and Astronomy,Research Grant,01/01/2016,31/12/2019,42205.0,Yorkshire and The Humber
373,BBSRC,Newcastle University,Inst for Cell and Molecular Biosciences,Research Grant,09/06/2018,08/06/2020,551321.0,North East
375,Innovate UK,Magnetic Systems Technology Limited,,Collaborative R&D,01/07/2018,30/06/2020,1729909.0,Yorkshire and The Humber
376,BBSRC,Cardiff University,School of Biosciences,Fellowship,01/07/2018,30/06/2021,304030.0,Wales
377,STFC,University College London,Mullard Space Science Laboratory,Fellowship,01/09/2016,31/08/2019,54779.0,London
378,Innovate UK,Richmond Design & Marketing Limited,,Collaborative R&D,01/07/2018,31/12/2020,2454004.0,West Midlands
379,Innovate UK,Sheffield Hallam University,,Knowledge Transfer Partnership,01/02/2017,29/02/2020,115089.0,Yorkshire and The Humber
380,MRC,University of Manchester,School of Biological Sciences,Fellowship,01/09/2013,28/02/2019,664960.0,North West
383,ESRC,University of Exeter,Geography,Research Grant,15/09/2016,31/12/2018,282093.0,South West
385,EPSRC,Brunel University,Research Support and Development Office,Training Grant,01/10/2016,30/09/2021,1404660.0,London
386,MRC,University of Cambridge,Obstetrics and Gynaecology,Research Grant,01/01/2014,31/12/2018,1583174.0,East of England
387,MRC,University of Cambridge,Clinical Neurosciences,Research Grant,01/03/2018,28/02/2021,354583.0,East of England
393,BBSRC,Royal Veterinary College,Pathology and Pathogen Biology,Research Grant,30/12/2016,29/06/2020,400104.0,London
395,NERC,University of Glasgow,School of Engineering,Research Grant,01/12/2018,30/11/2020,83395.0,Scotland
397,ESRC,London School of Economics & Pol Sci,Centre for Economic Performance,Fellowship,01/04/2018,31/03/2021,342454.0,London
399,MRC,University College London,Institute of Health Informatics,Fellowship,14/02/2018,13/02/2021,313016.0,London
400,Innovate UK,BioMoti Limited,,Collaborative R&D,01/08/2017,31/07/2019,662222.0,London
403,BBSRC,National Inst of Agricultural Botany,Centre for Research,Research Grant,01/10/2016,31/12/2019,183094.0,East of England
405,MRC,University College London,Medicine,Research Grant,01/07/2018,30/06/2021,1079228.0,London
406,NERC,University of St Andrews,Earth and Environmental Sciences,Research Grant,01/06/2017,04/09/2020,427620.0,Scotland
408,EPSRC,King's College London,Imaging & Biomedical Engineering,Other Grant,01/05/2017,30/04/2022,6165151.0,London
409,EPSRC,University College London,Computer Science,Research Grant,01/11/2018,31/10/2022,974935.0,London
411,BBSRC,King's College London,Neuroscience,Research Grant,02/04/2018,01/04/2021,185140.0,London
412,ESRC,University College London,UCL Institute for Global Prosperity,Research Grant,01/04/2017,31/03/2022,4117492.0,London
415,EPSRC,University of Liverpool,Computer Science,Research Grant,01/09/2015,30/06/2019,429107.0,North West
417,BBSRC,"Queen Mary, University of London",Sch of Biological and Chemical Sciences,Training Grant,01/10/2018,01/12/2022,107034.0,London
418,NERC,University of Edinburgh,Sch of Biological Sciences,Fellowship,01/08/2014,31/07/2019,508608.0,Scotland
420,ESRC,Lancaster University,Lancaster Environment Centre,Research Grant,01/10/2016,30/11/2018,102410.0,North West
423,MRC,University of Birmingham,Clinical and Experimental Medicine,Research Grant,01/03/2016,10/06/2019,460142.0,West Midlands
424,NERC,Bangor University,Sch of Natural Sciences,Research Grant,12/11/2018,11/11/2021,297299.0,Wales
426,MRC,University of Edinburgh,MRC Centre for Regenerative Medicine,Fellowship,01/05/2018,30/04/2021,609771.0,Scotland
428,Innovate UK,Productiv Limited,,Collaborative R&D,01/07/2017,30/06/2018,1059720.0,West Midlands
430,EPSRC,Heriot-Watt University,"Sch of Energy, Geosci, Infrast & Society",Training Grant,01/10/2018,30/09/2022,200000.0,Scotland
432,AHRC,Durham University,Archaeology,Research Grant,01/07/2016,16/10/2019,689801.0,North East
433,NERC,University of Cambridge,Earth Sciences,Fellowship,01/01/2018,30/06/2021,350939.0,East of England
434,NERC,University of Bristol,Geographical Sciences,Research Grant,09/01/2017,08/01/2021,1069226.0,South West
435,MRC,University of Cambridge,Clinical Neurosciences,Research Grant,01/06/2018,31/05/2023,4095179.0,East of England
437,BBSRC,University of Leeds,Mechanical Engineering,Training Grant,11/09/2017,10/09/2021,96696.0,Yorkshire and The Humber
438,STFC,University of Edinburgh,Sch of Physics and Astronomy,Research Grant,01/04/2018,31/03/2021,699025.0,Scotland
440,MRC,University of Bristol,Clinical Science at South Bristol,Research Grant,01/07/2016,30/06/2019,622762.0,South West
442,STFC,North Pennines AONB Partnership,AONB,Research Grant,01/06/2015,31/05/2018,9330.0,Outside UK
443,EPSRC,University of Bath,Mathematical Sciences,Research Grant,01/06/2016,31/05/2019,316872.0,South West
449,MRC,University of Leeds,School of Medicine,Fellowship,14/02/2018,13/02/2021,331280.0,Yorkshire and The Humber
452,BBSRC,University of Sheffield,Molecular Biology and Biotechnology,Research Grant,01/10/2015,31/03/2019,674947.0,Yorkshire and The Humber
