,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
61,AHRC,University of Sussex,"Sch of Media, Film and Music",Research Grant,01/01/2018,31/03/2019,80087.0,,South East
62,BBSRC,University of Cambridge,Biochemistry,Studentship,01/10/2018,30/09/2022,0.0,,East of England
63,ESRC,University of Nottingham,Nottingham University Business School,Studentship,01/10/2018,30/09/2021,0.0,,East Midlands
64,ESRC,University of Oxford,Education,Studentship,01/10/2017,30/09/2021,0.0,,South East
65,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Studentship,01/10/2017,31/03/2021,0.0,,Scotland
66,EPSRC,University of Nottingham,Sch of Pharmacy,Research Grant,01/05/2017,25/06/2020,293993.0,,East Midlands
67,MRC,University of Nottingham,School of Medicine,Research Grant,03/04/2017,02/04/2020,438477.0,,East Midlands
68,Innovate UK,Croda Europe Limited,,EU-Funded,01/05/2016,30/04/2019,65217.0,,Yorkshire and The Humber
69,BBSRC,John Innes Centre,Crop Genetics,Research Grant,01/08/2018,31/07/2021,509629.0,,East of England
70,NERC,University of Leeds,School of Earth and Environment,Studentship,01/10/2016,31/10/2020,0.0,,Yorkshire and The Humber
71,EPSRC,University of Bristol,Engineering Mathematics,Research Grant,01/10/2016,31/03/2020,307644.0,,South West
72,STFC,Imperial College London,Dept of Physics,Studentship,01/10/2016,31/03/2020,0.0,,London
73,NERC,University of East Anglia,Computing Sciences,Studentship,01/10/2017,31/05/2021,0.0,,East of England
74,BBSRC,University of Cambridge,Pathology,Studentship,01/10/2016,31/01/2021,0.0,,East of England
75,BBSRC,National Inst of Agricultural Botany,Centre for Research,Research Grant,01/02/2016,31/03/2019,358962.0,,East of England
76,STFC,University of Strathclyde,Physics,Studentship,01/11/2017,31/10/2021,0.0,,Scotland
77,MRC,University of Manchester,School of Biological Sciences,Studentship,01/10/2017,31/03/2021,0.0,,North West
78,EPSRC,University of Nottingham,Faculty of Engineering,Research Grant,01/12/2017,30/11/2020,254069.0,,East Midlands
79,NERC,University of KwaZulu-Natal,Faculty of Engineering,Research Grant,01/07/2015,31/12/2019,208763.0,,Outside UK
80,EPSRC,University of Cambridge,Engineering,Studentship,01/10/2018,30/09/2021,0.0,,East of England
81,NERC,NERC British Geological Survey,NERC Isotope Geosciences Laboratory,Research Grant,01/05/2017,30/04/2022,138079.0,,East Midlands
82,EPSRC,University of Edinburgh,Sch of Mathematics,Research Grant,12/09/2016,22/09/2018,157625.0,,Scotland
83,BBSRC,University of East Anglia,Graduate Office,Studentship,01/10/2017,30/09/2021,0.0,,East of England
84,NERC,University of Reading,Meteorology,Research Grant,01/06/2013,30/11/2019,1320802.0,,South East
85,NERC,University of Southampton,Sch of Biological Sciences,Research Grant,30/06/2015,29/06/2020,298189.0,,South East
86,ESRC,Cardiff University,Sch of Social Sciences,Studentship,01/10/2017,30/09/2020,0.0,,Wales
87,BBSRC,University of East Anglia,Graduate Office,Studentship,01/10/2018,30/09/2022,0.0,,East of England
88,EPSRC,University of Birmingham,Vice Chancellors Office,Research Grant,01/11/2018,31/10/2020,531286.0,,West Midlands
89,ESRC,University of Brighton,Sch of Applied Social Sciences,Studentship,01/10/2018,30/09/2022,0.0,,South East
90,ESRC,Lancaster University,Law,Studentship,01/10/2017,30/09/2020,0.0,,North West
91,EPSRC,University of York,Computer Science,Research Grant,01/09/2015,31/08/2020,1766824.0,,Yorkshire and The Humber
92,EPSRC,Imperial College London,Dept of Mathematics,Research Grant,01/06/2016,31/08/2019,773844.0,,London
93,Innovate UK,Naturiol Bangor Ltd,,Collaborative R&D,01/04/2015,30/09/2018,700618.0,,Wales
94,ESRC,University of Cambridge,Faculty of Education,Research Grant,01/07/2015,31/12/2018,457731.0,,East of England
95,NERC,University of Bristol,Geographical Sciences,Research Grant,01/01/2018,31/12/2020,242526.0,,South West
96,NERC,Institute of Research for Development,HydroSciences Montpellier (HSM),Research Grant,01/08/2015,31/07/2019,255357.0,,Outside UK
97,Innovate UK,Johnson Matthey Plc,,EU-Funded,01/02/2018,31/01/2021,156376.0,,London
98,EPSRC,Cardiff University,Sch of Engineering,Research Grant,01/01/2018,31/07/2019,513015.0,,Wales
99,EPSRC,University of Southampton,Electronics and Computer Science,Studentship,29/09/2016,30/09/2019,0.0,,South East
100,ESRC,Cardiff University,Sch of Social Sciences,Studentship,01/10/2017,30/09/2020,0.0,,Wales
101,EPSRC,University of Edinburgh,Sch of Informatics,Studentship,01/09/2015,31/08/2019,0.0,,Scotland
102,ESRC,Lancaster University,Educational Research,Research Grant,01/09/2018,31/10/2020,288347.0,,North West
103,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/06/2017,30/11/2018,101032.0,,Scotland
104,AHRC,University of York,History,Research Grant,01/05/2014,30/04/2019,802825.0,,Yorkshire and The Humber
105,ESRC,University of Leeds,Law,Research Grant,12/08/2016,31/10/2019,405844.0,,Yorkshire and The Humber
106,NERC,University of East Anglia,Environmental Sciences,Research Grant,01/01/2018,31/12/2020,648745.0,,East of England
107,Innovate UK,Maritime and Coastguard Agency,,CRD,01/11/2018,30/04/2020,1000028.0,,South East
108,ESRC,University of York,Psychology,Studentship,01/10/2017,30/09/2021,0.0,,Yorkshire and The Humber
109,MRC,University of Bristol,Social Medicine,Research Grant,01/01/2015,30/09/2018,323623.0,,South West
110,BBSRC,King's College London,Craniofacial Dev and Stem Cell Biology,Studentship,01/10/2016,30/09/2020,0.0,,London
111,ESRC,Durham University,Anthropology,Studentship,01/10/2017,30/09/2021,0.0,,North East
112,STFC,University of Sussex,Sch of Engineering and Informatics,Studentship,01/02/2018,31/07/2021,0.0,,South East
113,STFC,Lancaster University,Physics,Research Grant,01/10/2018,31/03/2019,51250.0,,North West
114,Innovate UK,University of Essex,,Knowledge Transfer Partnership,01/10/2016,30/09/2019,100477.0,,East of England
115,EPSRC,University of Nottingham,Faculty of Engineering,Research Grant,01/02/2016,30/04/2019,171430.0,,East Midlands
116,Innovate UK,Recycling Technologies Ltd,,Collaborative R&D,01/10/2017,31/03/2019,975144.0,,South West
117,BBSRC,University of Kent,Sch of Biosciences,Training Grant,01/10/2015,30/09/2019,95042.0,,South East
118,BBSRC,University of Oxford,Wellcome Trust Centre for Human Genetics,Research Grant,01/11/2016,31/10/2019,347693.0,,South East
119,EPSRC,University of Manchester,Electrical and Electronic Engineering,Studentship,28/06/2017,30/09/2020,0.0,,North West
120,STFC,University of Nottingham,Sch of Physics & Astronomy,Training Grant,01/10/2017,30/09/2021,221037.0,,East Midlands
121,Innovate UK,Euriscus Limited,,Collaborative R&D,01/10/2017,31/03/2020,566007.0,,South East
122,STFC,University of St Andrews,Mathematics and Statistics,Training Grant,01/10/2015,30/09/2020,226300.0,,Scotland
123,Innovate UK,Cardiff University,,Knowledge Transfer Partnership,01/11/2016,31/10/2019,151734.0,,Wales
124,EPSRC,University of Glasgow,School of Computing Science,Research Grant,01/01/2016,31/12/2020,4183694.0,,Scotland
125,EPSRC,University of Manchester,Research Support Services,Training Grant,01/10/2016,30/09/2021,6595228.0,,North West
126,EPSRC,University of Nottingham,Faculty of Engineering,Studentship,01/09/2017,31/08/2021,0.0,,East Midlands
127,Innovate UK,Helia Photonics Limited,,EU-Funded,01/07/2018,30/06/2021,124411.0,,Unknown
128,Innovate UK,Liverpool John Moores University,,CRD,01/10/2018,31/07/2020,213148.0,,North West
129,STFC,Swansea University,College of Science,Fellowship,01/01/2018,31/12/2020,115641.0,,Wales
130,NC3Rs,King's College London,Craniofacial Dev and Stem Cell Biology,Research Grant,01/09/2018,31/08/2021,309100.0,,London
131,BBSRC,Aston University,Sch of Life and Health Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,,West Midlands
132,MRC,University of Oxford,Weatherall Inst of Molecular Medicine,Research Grant,01/08/2015,30/09/2019,503126.0,,South East
133,NERC,University of Liverpool,Geography and Planning,Research Grant,01/05/2016,31/01/2021,381753.0,,North West
134,NERC,Lancaster University,Lancaster Environment Centre,Research Grant,01/04/2016,31/03/2019,154318.0,,North West
135,BBSRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,01/10/2014,31/03/2019,2738706.0,,Scotland
136,Innovate UK,Nu Nano Ltd,,GRD Development of Prototype,01/04/2017,31/03/2019,216496.0,,South West
137,Innovate UK,Nextek Limited,,Collaborative R&D,01/10/2016,30/09/2019,437156.0,,South East
138,BBSRC,University of Manchester,Chemistry,Research Grant,01/11/2016,31/10/2019,346806.0,,North West
139,BBSRC,University of Birmingham,Immunity and Infection,Research Grant,02/03/2015,01/03/2020,566019.0,,West Midlands
140,STFC,Northumbria University,Fac of Engineering and Environment,Research Grant,01/06/2014,31/12/2018,36304.0,,North East
141,EPSRC,Northumbria University,Fac of Engineering and Environment,Research Grant,26/11/2018,25/11/2021,346666.0,,North East
142,STFC,University of Leicester,Physics and Astronomy,Research Grant,01/04/2016,31/03/2020,2292308.0,,East Midlands
143,BBSRC,University of East Anglia,School of Psychology,Research Grant,10/01/2018,09/01/2021,392417.0,,East of England
144,EPSRC,University of Southampton,Electronics and Computer Science,Studentship,01/10/2017,30/09/2020,0.0,,South East
145,BBSRC,University of Nottingham,School of Life Sciences,Studentship,01/10/2018,30/09/2022,0.0,,East Midlands
146,STFC,Cardiff University,School of Physics and Astronomy,Studentship,01/10/2018,31/03/2022,0.0,,Wales
147,NERC,University of Bristol,Earth Sciences,Research Grant,01/09/2016,31/08/2021,641495.0,,South West
148,EPSRC,Imperial College London,Materials,Studentship,03/05/2018,31/03/2022,0.0,,London
149,BBSRC,Imperial College London,Life Sciences,Studentship,03/10/2015,30/09/2019,0.0,,London
150,EPSRC,Newcastle University,Sch of Engineering,Research Grant,01/01/2018,31/12/2020,420710.0,,North East
151,MRC,University of Manchester,Electrical and Electronic Engineering,Studentship,01/01/2018,31/12/2021,0.0,,North West
152,STFC,University of Bristol,Physics,Studentship,19/09/2016,31/03/2020,0.0,,South West
153,EPSRC,University of Sheffield,Electronic and Electrical Engineering,Studentship,24/09/2018,31/03/2022,0.0,,Yorkshire and The Humber
154,ESRC,University of Birmingham,Institute of Applied Social Sciences,Studentship,01/10/2017,30/09/2020,0.0,,West Midlands
155,EPSRC,University of Surrey,Communications Systems Res CCSR,Research Grant,23/03/2017,25/10/2018,673435.0,,South East
156,EPSRC,University of Edinburgh,Sch of Chemistry,Research Grant,01/08/2017,31/07/2019,202084.0,,Scotland
157,STFC,University of Manchester,Physics and Astronomy,Research Grant,01/10/2015,30/09/2019,4030852.0,,North West
158,ESRC,London School of Economics & Pol Sci,Sociology,Fellowship,01/10/2018,30/09/2019,99668.0,,London
159,STFC,University of Manchester,Physics and Astronomy,Research Grant,01/04/2017,31/03/2020,355859.0,,North West
160,BBSRC,Cardiff University,School of Biosciences,Studentship,01/10/2018,30/09/2022,0.0,,Wales
161,EPSRC,University of Nottingham,Sch of Chemistry,Studentship,01/10/2018,30/09/2022,0.0,,East Midlands
162,NERC,University of Strathclyde,Mathematics and Statistics,Research Grant,01/05/2017,30/04/2021,468711.0,,Scotland
163,Innovate UK,University of Leeds,,Knowledge Transfer Partnership,01/01/2017,30/06/2019,143063.0,,Yorkshire and The Humber
164,EPSRC,University of Cambridge,Engineering,Studentship,01/10/2017,30/09/2021,0.0,,East of England
165,STFC,Open University,Physical Sciences,Studentship,01/10/2016,30/09/2019,0.0,,South East
166,STFC,University of Glasgow,School of Physics and Astronomy,Studentship,01/10/2017,31/03/2021,0.0,,Scotland
167,BBSRC,University of Edinburgh,Sch of Chemistry,Training Grant,01/10/2015,30/09/2019,95042.0,,Scotland
168,EPSRC,University of Birmingham,School of Chemistry,Training Grant,01/04/2014,30/09/2022,3509929.0,,West Midlands
169,ESRC,University of Glasgow,School of Social & Political Sciences,Studentship,01/10/2018,30/09/2021,0.0,,Scotland
170,EPSRC,University of Nottingham,Sch of Mathematical Sciences,Studentship,01/10/2016,30/09/2019,0.0,,East Midlands
171,BBSRC,University of Birmingham,School of Chemistry,Training Grant,01/10/2017,30/09/2021,98212.0,,West Midlands
172,Innovate UK,Enocell Limited,,EU-Funded,01/06/2017,31/05/2019,303201.0,,Scotland
173,NERC,NERC British Geological Survey,BGS Global,Research Grant,01/07/2017,30/06/2020,5891200.0,,East Midlands
174,MRC,Liverpool School of Tropical Medicine,Vector Biology,Research Grant,01/10/2017,31/12/2021,6325569.0,,North West
175,BBSRC,University of Bath,Biology and Biochemistry,Training Grant,01/10/2017,30/09/2021,98212.0,,South West
176,EPSRC,University of Cambridge,Physics,Studentship,01/10/2018,31/03/2022,0.0,,East of England
177,BBSRC,University of Warwick,School of Life Sciences,Studentship,02/10/2017,30/09/2021,0.0,,West Midlands
178,EPSRC,University of Cambridge,Engineering,Research Grant,01/07/2017,30/06/2019,101140.0,,East of England
179,NC3Rs,University of Edinburgh,MRC Centre for Inflammation Research,Studentship,01/10/2017,30/09/2020,0.0,,Scotland
180,EPSRC,University of Liverpool,"Mech, Materials & Aerospace Engineering",Fellowship,01/11/2015,31/10/2020,807008.0,,North West
181,EPSRC,University of Hull,Chemistry,Research Grant,01/01/2018,31/12/2019,100745.0,,Yorkshire and The Humber
182,ESRC,University of Dundee,Population Health and Genomics,Research Grant,01/10/2017,30/09/2021,951309.0,,Scotland
183,EPSRC,University of Surrey,Vision Speech and Signal Proc CVSSP,Research Grant,01/08/2017,31/07/2022,1577222.0,,South East
184,EPSRC,University College London,Surgery,Research Grant,01/09/2015,31/05/2019,870392.0,,London
185,EPSRC,University of Huddersfield,Research and Enterprise,Training Grant,01/10/2018,30/09/2023,169698.0,,Yorkshire and The Humber
186,MRC,London Sch of Hygiene and Trop Medicine,Epidemiology and Population Health,Studentship,25/09/2017,31/03/2021,0.0,,London
187,MRC,University of Leicester,Infection Immunity and Inflammation,Research Grant,01/12/2016,30/11/2019,480208.0,,East Midlands
188,MRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,14/02/2018,13/02/2021,323270.0,,Scotland
189,EPSRC,University of Strathclyde,Pure and Applied Chemistry,Studentship,01/10/2015,30/09/2019,0.0,,Scotland
190,BBSRC,King's College London,Dental Institute,Research Grant,03/04/2017,02/04/2020,201970.0,,London
191,BBSRC,Lancaster University,Lancaster Environment Centre,Studentship,01/10/2018,30/09/2022,0.0,,North West
192,MRC,University of Cambridge,,Intramural,01/07/2017,,,278000.0,East of England
193,EPSRC,University of Surrey,Physics,Studentship,24/09/2018,30/09/2022,0.0,,South East
194,EPSRC,King's College London,King's College London Central Offices,Training Grant,01/10/2016,30/09/2021,1994762.0,,London
195,BBSRC,University of Manchester,Cancer Research UK Manchester Institute,Studentship,01/10/2015,30/09/2019,0.0,,North West
196,NERC,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,31/10/2017,30/11/2018,86272.0,,West Midlands
197,AHRC,University of Winchester,History,Research Grant,01/10/2017,31/03/2019,34538.0,,South East
198,EPSRC,University of Bath,Mechanical Engineering,Studentship,01/10/2018,31/03/2022,0.0,,South West
199,NERC,University of Manchester,Mechanical Aerospace and Civil Eng,Research Grant,01/07/2017,30/06/2019,161686.0,,North West
200,EPSRC,Newcastle University,Sch of Engineering,Research Grant,01/06/2016,31/05/2019,240010.0,,North East
201,EPSRC,University of Kent,Sch of Biosciences,Studentship,19/09/2015,30/09/2019,0.0,,South East
202,EPSRC,University of Sheffield,Materials Science and Engineering,Studentship,24/09/2018,30/03/2022,0.0,,Yorkshire and The Humber
203,MRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,03/10/2016,02/10/2019,236718.0,,Scotland
204,MRC,University of Leeds,Sch of Molecular & Cellular Biology,Studentship,01/10/2018,31/03/2022,0.0,,Yorkshire and The Humber
205,AHRC,University of Manchester,Arts Languages and Cultures,Studentship,01/10/2017,30/09/2020,0.0,,North West
206,BBSRC,Rothamsted Research,Biointeractions and Crop Protection,Research Grant,01/04/2018,31/03/2019,64376.0,,East of England
207,EPSRC,University of Surrey,Mathematics,Studentship,24/09/2018,30/09/2021,0.0,,South East
208,BBSRC,University of East Anglia,Graduate Office,Studentship,01/10/2017,30/09/2021,0.0,,East of England
209,Innovate UK,University of Warwick,,CRD,01/09/2018,31/01/2019,99560.0,,West Midlands
210,ESRC,University College London,Economics,Studentship,25/09/2017,30/09/2021,0.0,,London
211,ESRC,University of Sussex,Sch of Education and Social Work,Studentship,25/09/2017,30/09/2020,0.0,,South East
212,EPSRC,Queen's University of Belfast,Sch Mechanical and Aerospace Engineering,Studentship,22/09/2017,30/09/2020,0.0,,Northern Ireland
213,BBSRC,University of Oxford,Psychiatry,Fellowship,01/10/2018,30/09/2021,304884.0,,South East
214,ESRC,London School of Economics & Pol Sci,International Relations,Studentship,01/10/2018,30/09/2021,0.0,,London
215,MRC,University College London,Institute of Child Health,Fellowship,01/06/2014,31/12/2018,212983.0,,London
216,AHRC,University of Cambridge,Asian and Middle Eastern Studies,Research Grant,01/10/2016,31/12/2019,406417.0,,East of England
217,ESRC,Bangor University,Sch of Psychology,Studentship,01/10/2017,30/09/2020,0.0,,Wales
218,EPSRC,University of Bath,Chemistry,Studentship,01/10/2017,31/03/2021,0.0,,South West
219,EPSRC,University of Oxford,Mathematical Institute,Studentship,01/10/2017,31/03/2021,0.0,,South East
220,AHRC,University of Leicester,Sch of Archaeology and Ancient History,Studentship,28/09/2015,30/09/2018,0.0,,East Midlands
221,ESRC,London School of Economics & Pol Sci,European Institute,Studentship,01/10/2018,30/09/2021,0.0,,London
222,NERC,University of Cambridge,Earth Sciences,Research Grant,01/05/2016,30/04/2020,638525.0,,East of England
223,BBSRC,Imperial College London,Life Sciences,Studentship,01/10/2016,30/09/2020,0.0,,London
224,MRC,University of Leicester,,Intramural,01/03/2017,28/02/2019,,560000.0,East Midlands
225,EPSRC,University of Bristol,Engineering Mathematics,Studentship,11/09/2017,30/04/2021,0.0,,South West
226,BBSRC,King's College London,Chemistry,Research Grant,01/07/2016,30/06/2019,354242.0,,London
227,BBSRC,University of Cambridge,Pathology,Studentship,01/10/2018,30/09/2022,0.0,,East of England
228,EPSRC,University of Liverpool,Student Administration and Support,Training Grant,01/10/2013,30/09/2018,205944.0,,North West
229,AHRC,University of Kent,Sch of History,Studentship,15/09/2018,30/09/2022,0.0,,South East
230,MRC,London Sch of Hygiene and Trop Medicine,Epidemiology and Population Health,Studentship,25/09/2017,31/03/2021,0.0,,London
231,MRC,University of Nottingham,School of Life Sciences,Research Grant,07/08/2018,06/11/2019,686925.0,,East Midlands
232,MRC,University of Cambridge,,Intramural,01/07/2017,,,331000.0,East of England
233,NERC,Loughborough University,Geography,Research Grant,01/03/2018,31/05/2019,100837.0,,East Midlands
234,STFC,University of Oxford,Oxford Physics,Studentship,01/10/2016,31/03/2020,0.0,,South East
235,EPSRC,Imperial College London,Department of Chemical Engineering,Fellowship,01/07/2016,30/06/2021,1015843.0,,London
236,Innovate UK,Fgv Cambridge Nanosystems Limited,,Feasibility Studies,01/06/2017,31/05/2018,361426.0,,East of England
237,EPSRC,University of Kent,Sch of Engineering & Digital Arts,Studentship,15/09/2018,30/09/2022,0.0,,South East
238,EPSRC,Aston University,Unlisted,Training Grant,01/10/2018,30/09/2023,496316.0,,West Midlands
239,EPSRC,University of Liverpool,Chemistry,Research Grant,01/04/2017,31/03/2019,10000000.0,,North West
240,EPSRC,University of Edinburgh,Sch of Engineering,Studentship,01/10/2018,31/03/2022,0.0,,Scotland
241,STFC,King's College London,Cancer Studies,Research Grant,29/01/2018,31/03/2019,71879.0,,London
242,BBSRC,University of Kent,Sch of Biosciences,Studentship,19/09/2015,30/09/2019,0.0,,South East
243,EPSRC,University of Sussex,Research Finance,Training Grant,01/10/2014,30/09/2018,406646.0,,South East
244,BBSRC,Harper Adams University,Crops and Environment Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,,West Midlands
245,STFC,University College London,Physics and Astronomy,Research Grant,01/10/2018,30/06/2019,316000.0,,London
246,NERC,University of Reading,Meteorology,Research Grant,26/06/2017,25/06/2021,626133.0,,South East
247,Innovate UK,AccuRx Limited,,Collaborative R&D,01/03/2017,28/02/2019,398735.0,,London
248,BBSRC,The Pirbright Institute,Livestock Viral Diseases,Training Grant,05/10/2015,04/10/2019,95042.0,,South East
249,BBSRC,SRUC,Research,Research Grant,02/12/2018,01/12/2021,278781.0,,Scotland
250,Innovate UK,Orthox Limited,,Collaborative R&D,01/06/2015,28/02/2019,1493192.0,,South East
251,BBSRC,University of Liverpool,Institute of Infection and Global Health,Research Grant,01/12/2018,30/11/2021,274977.0,,North West
252,BBSRC,University of Cambridge,Biochemistry,Studentship,01/10/2017,30/09/2021,0.0,,East of England
253,AHRC,Northumbria University,Fac of Engineering and Environment,Research Grant,04/12/2017,17/12/2018,60152.0,,North East
254,STFC,Durham University,Physics,Research Grant,01/04/2018,31/03/2020,157381.0,,North East
255,STFC,University of Sheffield,Mathematics and Statistics,Studentship,01/10/2015,01/04/2019,0.0,,Yorkshire and The Humber
