,Provider_Name,Value,Year
43,GOLDSMITHS' COLLEGE,"23,637,438",2011
44,UNIVERSITY OF GREENWICH,"60,349,557",2011
45,GUILDHALL SCHOOL OF MUSIC & DRAMA,"2,885,635",2011
46,HARPER ADAMS UNIVERSITY COLLEGE,"15,661,177",2011
47,UNIVERSITY OF HERTFORDSHIRE,"55,462,759",2011
48,HEYTHROP COLLEGE,"1,335,151",2011
49,UNIVERSITY OF HUDDERSFIELD,"51,812,728",2011
50,UNIVERSITY OF HULL,"49,455,196",2011
51,IMPERIAL COLLEGE LONDON,"152,103,924",2011
52,KEELE UNIVERSITY,"29,464,768",2011
53,UNIVERSITY OF KENT,"57,356,115",2011
54,KING'S COLLEGE LONDON,"127,478,420",2011
55,KINGSTON UNIVERSITY,"65,684,017",2011
56,LANCASTER UNIVERSITY,"44,496,838",2011
57,UNIVERSITY OF LEEDS,"134,237,874",2011
58,LEEDS METROPOLITAN UNIVERSITY,"63,460,810",2011
59,LEEDS COLLEGE OF ART,"4,194,220",2011
60,LEEDS TRINITY UNIVERSITY COLLEGE,"5,812,543",2011
61,UNIVERSITY OF LEICESTER,"59,379,405",2011
62,UNIVERSITY OF LINCOLN,"37,112,434",2011
63,UNIVERSITY OF LIVERPOOL,"105,182,347",2011
64,LIVERPOOL HOPE UNIVERSITY,"16,300,471",2011
65,LIVERPOOL JOHN MOORES UNIVERSITY,"65,623,082",2011
66,LIVERPOOL INSTITUTE FOR PERFORMING ARTS,"2,845,495",2011
67,UNIVERSITY OF THE ARTS LONDON,"55,918,002",2011
68,UNIVERSITY OF LONDON,"114,260",2011
69,LONDON BUSINESS SCHOOL,"6,516,072",2011
70,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,"26,748,482",2011
71,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,"21,019,817",2011
72,LONDON METROPOLITAN UNIVERSITY,"50,617,738",2011
73,LONDON SOUTH BANK UNIVERSITY,"41,351,099",2011
74,LOUGHBOROUGH UNIVERSITY,"61,564,430",2011
75,UNIVERSITY OF MANCHESTER,"178,292,517",2011
76,MANCHESTER METROPOLITAN UNIVERSITY,"81,762,147",2011
77,MIDDLESEX UNIVERSITY,"48,937,110",2011
78,UNIVERSITY OF NEWCASTLE UPON TYNE,"97,799,423",2011
79,NEWMAN UNIVERSITY COLLEGE,"5,635,594",2011
80,UNIVERSITY OF NORTHAMPTON,"26,452,460",2011
81,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,"60,654,936",2011
82,NORWICH UNIVERSITY COLLEGE OF THE ARTS,"5,857,709",2011
83,UNIVERSITY OF NOTTINGHAM,"124,200,319",2011
84,NOTTINGHAM TRENT UNIVERSITY,"62,728,832",2011
85,OPEN UNIVERSITY,"186,758,116",2011
86,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,"13,234,824",2011
87,UNIVERSITY OF OXFORD,"186,868,249",2011
88,OXFORD BROOKES UNIVERSITY,"39,978,897",2011
89,SCHOOL OF PHARMACY,"7,532,812",2011
90,UNIVERSITY OF PLYMOUTH,"85,772,300",2011
91,UNIVERSITY COLLEGE PLYMOUTH ST MARK & ST JOHN,"4,979,761",2011
92,UNIVERSITY OF PORTSMOUTH,"57,825,781",2011
93,"QUEEN MARY, UNIVERSITY OF LONDON","89,013,987",2011
94,RAVENSBOURNE,"6,719,473",2011
95,UNIVERSITY OF READING,"47,791,552",2011
96,ROEHAMPTON UNIVERSITY,"21,530,954",2011
97,ROSE BRUFORD COLLEGE,"3,786,117",2011
98,ROYAL ACADEMY OF MUSIC,"4,104,515",2011
99,ROYAL AGRICULTURAL COLLEGE,"4,345,696",2011
100,ROYAL COLLEGE OF ART,"10,390,420",2011
101,ROYAL COLLEGE OF MUSIC,"4,272,755",2011
102,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","34,905,259",2011
103,ROYAL NORTHERN COLLEGE OF MUSIC,"5,781,560",2011
104,ROYAL VETERINARY COLLEGE,"25,836,583",2011
105,ST GEORGE'S HOSPITAL MEDICAL SCHOOL,"26,925,966",2011
106,ST MARY'S UNIVERSITY COLLEGE,"8,111,790",2011
107,UNIVERSITY OF SALFORD,"52,459,786",2011
108,UNIVERSITY OF SHEFFIELD,"109,487,672",2011
109,SHEFFIELD HALLAM UNIVERSITY,"68,426,872",2011
110,UNIVERSITY OF SOUTHAMPTON,"98,492,426",2011
111,SOUTHAMPTON SOLENT UNIVERSITY,"34,467,283",2011
112,STAFFORDSHIRE UNIVERSITY,"49,638,061",2011
113,UNIVERSITIES OF EAST ANGLIA AND ESSEX: JOINT PROVISION AT UNIVERSITY CAMPUS SUFFOLK,"12,500,641",2011
114,UNIVERSITY OF SUNDERLAND,"36,989,034",2011
115,UNIVERSITY OF SURREY,"41,451,468",2011
116,UNIVERSITY OF SUSSEX,"45,978,365",2011
117,TEESSIDE UNIVERSITY,"52,292,477",2011
118,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE,"8,189,359",2011
119,UNIVERSITY COLLEGE LONDON,"174,222,275",2011
120,UNIVERSITY OF WARWICK,"75,256,022",2011
121,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL","66,370,200",2011
122,THE UNIVERSITY OF WEST LONDON,"25,059,340",2011
123,UNIVERSITY OF WESTMINSTER,"56,253,908",2011
124,UNIVERSITY OF WINCHESTER,"11,183,234",2011
125,UNIVERSITY OF WOLVERHAMPTON,"53,045,790",2011
126,UNIVERSITY OF WORCESTER,"18,862,328",2011
127,WRITTLE COLLEGE,"4,043,861",2011
128,UNIVERSITY OF YORK,"57,873,904",2011
129,YORK ST JOHN UNIVERSITY,"10,321,913",2011
130,ACCRINGTON AND ROSSENDALE COLLEGE,"948,469",2011
131,ASKHAM BRYAN COLLEGE,"1,473,041",2011
132,BARKING AND DAGENHAM COLLEGE,"847,630",2011
133,BASINGSTOKE COLLEGE OF TECHNOLOGY,"470,805",2011
134,BEDFORD COLLEGE,"936,396",2011
135,BEXLEY COLLEGE,"37,197",2011
136,BIRMINGHAM METROPOLITAN COLLEGE,"488,748",2011
137,BISHOP BURTON COLLEGE,"2,993,701",2011
138,BLACKBURN COLLEGE,"9,779,600",2011
139,BLACKPOOL AND THE FYLDE COLLEGE,"8,050,402",2011
140,BOLTON COLLEGE,"267,751",2011
141,BRADFORD COLLEGE,"7,412,365",2011
142,BRIDGWATER COLLEGE,"630,654",2011
143,BROOKLANDS COLLEGE,"226,414",2011
144,CALDERDALE COLLEGE,"671,728",2011
145,CARLISLE COLLEGE,"638,593",2011
146,CENTRAL SUSSEX COLLEGE,"746,094",2011
147,CHESTERFIELD COLLEGE,"1,220,372",2011
148,CHICHESTER COLLEGE,"508,760",2011
149,CITY OF BATH COLLEGE,"444,279",2011
150,"CITY COLLEGE, BIRMINGHAM","263,931",2011
151,CITY COLLEGE COVENTRY,"535,068",2011
152,CITY COLLEGE PLYMOUTH,"180,518",2011
153,CITY OF SUNDERLAND COLLEGE,"973,087",2011
154,CITY OF WESTMINSTER COLLEGE,"1,033,335",2011
155,CLEVELAND COLLEGE OF ART AND DESIGN,"1,876,052",2011
156,CRAVEN COLLEGE,"502,694",2011
157,CROYDON COLLEGE,"2,866,998",2011
158,DEARNE VALLEY COLLEGE,"566,839",2011
159,DERBY COLLEGE,"439,285",2011
160,DONCASTER COLLEGE,"3,129,265",2011
161,DUDLEY COLLEGE OF TECHNOLOGY,"689,896",2011
162,"EALING, HAMMERSMITH AND WEST LONDON COLLEGE","498,465",2011
163,EAST RIDING COLLEGE,"480,652",2011
164,EASTLEIGH COLLEGE,"432,722",2011
165,EXETER COLLEGE,"525,908",2011
166,FAREHAM COLLEGE,"190,748",2011
167,FARNBOROUGH COLLEGE OF TECHNOLOGY,"3,297,999",2011
168,FILTON COLLEGE,"293,844",2011
169,GATESHEAD COLLEGE,"1,352,483",2011
170,GLOUCESTERSHIRE COLLEGE,"1,170,425",2011
171,GRIMSBY INSTITUTE OF FURTHER AND HIGHER EDUCATION,"6,578,461",2011
172,GUILDFORD COLLEGE OF FURTHER AND HIGHER EDUCATION,"2,091,689",2011
173,HALESOWEN COLLEGE,"46,061",2011
174,HAVERING COLLEGE OF FURTHER AND HIGHER EDUCATION,"4,358,018",2011
175,HENLEY COLLEGE COVENTRY,"790,865",2011
176,HEREFORD COLLEGE OF ARTS,"1,286,163",2011
177,HEREFORDSHIRE COLLEGE OF TECHNOLOGY,"172,163",2011
178,HIGHBURY COLLEGE,"801,378",2011
179,HOPWOOD HALL COLLEGE,"575,774",2011
180,HULL COLLEGE,"5,761,720",2011
181,KENSINGTON AND CHELSEA COLLEGE,"128,997",2011
182,KINGSTON COLLEGE,"559,773",2011
183,KIRKLEES COLLEGE,"1,071,397",2011
184,LAKES COLLEGE - WEST CUMBRIA,"1,066,967",2011
185,LEEDS CITY COLLEGE,"5,538,134",2011
186,LEICESTER COLLEGE,"1,140,978",2011
187,LEWISHAM COLLEGE,"184,620",2011
188,LINCOLN COLLEGE,"901,024",2011
189,LIVERPOOL COMMUNITY COLLEGE,"1,450,818",2011
190,LOUGHBOROUGH COLLEGE,"2,714,415",2011
191,MACCLESFIELD COLLEGE,"2,712,562",2011
192,THE MANCHESTER COLLEGE,"4,986,566",2011
193,MOULTON COLLEGE,"1,011,683",2011
194,NEW COLLEGE DURHAM,"3,898,757",2011
195,NEW COLLEGE NOTTINGHAM,"2,185,143",2011
196,NEW COLLEGE STAMFORD,"447,165",2011
197,NEW COLLEGE TELFORD,"53,497",2011
198,NEWBURY COLLEGE,"197,380",2011
199,NEWCASTLE COLLEGE,"11,090,410",2011
200,NORTH EAST SURREY COLLEGE OF TECHNOLOGY,"1,424,693",2011
201,NORTH EAST WORCESTERSHIRE COLLEGE,"1,231,179",2011
202,NORTH LINDSEY COLLEGE,"2,139,589",2011
203,NORTH NOTTINGHAMSHIRE COLLEGE,"148,934",2011
204,NORTH WARWICKSHIRE AND HINCKLEY COLLEGE,"736,688",2011
205,NORTH WEST KENT COLLEGE OF TECHNOLOGY,"58,932",2011
206,THE COLLEGE OF NORTH WEST LONDON,"773,468",2011
207,"NORTHBROOK COLLEGE, SUSSEX","3,506,447",2011
208,NORTHUMBERLAND COLLEGE,"550,909",2011
209,OXFORD AND CHERWELL VALLEY COLLEGE,"71,330",2011
210,PLYMOUTH COLLEGE OF ART,"3,000,335",2011
211,RICHMOND-UPON-THAMES COLLEGE,"80,437",2011
212,"RIVERSIDE COLLEGE, HALTON","1,308,975",2011
213,ROTHERHAM COLLEGE OF ARTS AND TECHNOLOGY,"758,583",2011
214,RUSKIN COLLEGE,"900,346",2011
215,SALFORD CITY COLLEGE,"64,059",2011
216,SANDWELL COLLEGE,"75,010",2011
217,THE SHEFFIELD COLLEGE,"1,512,638",2011
218,SOLIHULL COLLEGE,"1,274,194",2011
219,SOMERSET COLLEGE OF ARTS AND TECHNOLOGY,"624,707",2011
220,THE SOUTH DOWNS COLLEGE,"379,340",2011
221,SOUTH LEICESTERSHIRE COLLEGE,"205,109",2011
222,SOUTH NOTTINGHAM COLLEGE,"1,036,553",2011
223,SOUTH THAMES COLLEGE,"336,888",2011
224,SOUTH TYNESIDE COLLEGE,"2,486,702",2011
225,SOUTH AND WEST KENT COLLEGE,"200,494",2011
226,SOUTHAMPTON CITY COLLEGE,"133,492",2011
227,SPARSHOLT COLLEGE HAMPSHIRE,"2,111,267",2011
228,ST HELENS COLLEGE,"3,026,271",2011
229,STEPHENSON COLLEGE,"1,043,230",2011
230,STOCKPORT COLLEGE,"3,633,856",2011
231,STOURBRIDGE COLLEGE,"113,786",2011
232,STRATFORD-UPON-AVON COLLEGE,"150,495",2011
233,STROUD COLLEGE OF FURTHER EDUCATION,"34,992",2011
234,SWINDON COLLEGE,"594,354",2011
235,TAMESIDE COLLEGE,"415,855",2011
236,TELFORD COLLEGE OF ARTS AND TECHNOLOGY,"27,182",2011
237,TOTTON COLLEGE,"15,360",2011
238,TRAFFORD COLLEGE,"684,636",2011
239,TYNE METROPOLITAN COLLEGE,"528,340",2011
240,UXBRIDGE COLLEGE,"329,245",2011
241,WAKEFIELD COLLEGE,"1,414,395",2011
242,WALSALL COLLEGE,"1,054,941",2011
243,WARWICKSHIRE COLLEGE,"3,179,440",2011
244,WEST NOTTINGHAMSHIRE COLLEGE,"2,180,392",2011
245,WEST THAMES COLLEGE,"687,881",2011
246,WESTMINSTER KINGSWAY COLLEGE,"945,872",2011
247,WIGAN AND LEIGH COLLEGE,"2,305,527",2011
248,WILTSHIRE COLLEGE,"1,017,516",2011
249,WIRRAL METROPOLITAN COLLEGE,"1,286,025",2011
250,WORCESTER COLLEGE OF TECHNOLOGY,"3,460,077",2011
251,YORK COLLEGE,"1,634,402",2011
252,OVERALL TOTAL,"6,054,394,331",2011
253,HEI TOTAL,"5,873,603,172",2011
254,FEC TOTAL,"180,791,159",2011
255,ANGLIA RUSKIN UNIVERSITY,"28,965,686",2012
256,ASTON UNIVERSITY,"23,797,398",2012
257,THE UNIVERSITY OF BATH,"43,933,869",2012
258,BATH SPA UNIVERSITY,"12,564,503",2012
259,UNIVERSITY OF BEDFORDSHIRE,"23,031,745",2012
260,BIRKBECK COLLEGE,"26,017,283",2012
261,THE UNIVERSITY OF BIRMINGHAM,"104,384,352",2012
262,BIRMINGHAM CITY UNIVERSITY,"29,673,412",2012
263,UNIVERSITY COLLEGE BIRMINGHAM,"8,087,286",2012
264,BISHOP GROSSETESTE UNIVERSITY,"2,817,431",2012
265,THE UNIVERSITY OF BOLTON,"13,702,144",2012
266,THE ARTS UNIVERSITY BOURNEMOUTH,"6,633,446",2012
267,BOURNEMOUTH UNIVERSITY,"28,261,390",2012
268,THE UNIVERSITY OF BRADFORD,"29,825,258",2012
269,UNIVERSITY OF BRIGHTON,"39,385,388",2012
270,UNIVERSITY OF BRISTOL,"101,610,608",2012
271,BRUNEL UNIVERSITY LONDON,"36,357,615",2012
272,BUCKINGHAMSHIRE NEW UNIVERSITY,"14,079,049",2012
273,UNIVERSITY OF CAMBRIDGE,"167,841,422",2012
274,THE INSTITUTE OF CANCER RESEARCH,"18,102,244",2012
275,CANTERBURY CHRIST CHURCH UNIVERSITY,"20,133,938",2012
276,UNIVERSITY OF CENTRAL LANCASHIRE,"52,193,257",2012
277,UNIVERSITY OF CHESTER,"18,621,393",2012
278,THE UNIVERSITY OF CHICHESTER,"8,532,637",2012
279,THE CITY UNIVERSITY,"27,572,017",2012
280,COURTAULD INSTITUTE OF ART,"1,903,138",2012
281,COVENTRY UNIVERSITY,"40,190,328",2012
282,CRANFIELD UNIVERSITY,"22,675,082",2012
283,UNIVERSITY FOR THE CREATIVE ARTS,"14,680,469",2012
284,UNIVERSITY OF CUMBRIA,"11,585,938",2012
285,THE CONSERVATOIRE FOR DANCE AND DRAMA,"8,440,478",2012
286,DE MONTFORT UNIVERSITY,"38,688,290",2012
287,UNIVERSITY OF DERBY,"27,336,831",2012
288,UNIVERSITY OF DURHAM,"56,485,719",2012
289,THE UNIVERSITY OF EAST ANGLIA,"44,921,414",2012
290,UNIVERSITY OF EAST LONDON,"30,877,991",2012
291,EDGE HILL UNIVERSITY,"17,402,843",2012
292,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON","12,145,329",2012
293,THE UNIVERSITY OF ESSEX,"30,606,763",2012
294,UNIVERSITY OF EXETER,"53,630,917",2012
295,FALMOUTH UNIVERSITY,"10,398,423",2012
296,UNIVERSITY OF GLOUCESTERSHIRE,"14,826,862",2012
297,GOLDSMITHS' COLLEGE,"19,146,833",2012
298,UNIVERSITY OF GREENWICH,"43,781,616",2012
299,GUILDHALL SCHOOL OF MUSIC & DRAMA,"2,265,024",2012
300,HARPER ADAMS UNIVERSITY,"10,828,933",2012
301,UNIVERSITY OF HERTFORDSHIRE,"40,353,719",2012
302,HEYTHROP COLLEGE,"932,605",2012
303,THE UNIVERSITY OF HUDDERSFIELD,"36,850,600",2012
304,THE UNIVERSITY OF HULL,"38,805,458",2012
305,IMPERIAL COLLEGE LONDON,"148,240,297",2012
306,THE UNIVERSITY OF KEELE,"24,522,103",2012
307,THE UNIVERSITY OF KENT,"43,998,825",2012
308,KING'S COLLEGE LONDON,"118,311,752",2012
309,KINGSTON UNIVERSITY,"49,488,045",2012
310,THE UNIVERSITY OF LANCASTER,"37,663,717",2012
311,THE UNIVERSITY OF LEEDS,"115,985,495",2012
312,LEEDS COLLEGE OF ART,"2,883,572",2012
313,LEEDS BECKETT UNIVERSITY,"44,947,623",2012
314,LEEDS TRINITY UNIVERSITY,"3,881,998",2012
315,THE UNIVERSITY OF LEICESTER,"50,629,720",2012
316,UNIVERSITY OF LINCOLN,"25,761,276",2012
317,THE UNIVERSITY OF LIVERPOOL,"94,330,432",2012
318,LIVERPOOL HOPE UNIVERSITY,"10,792,830",2012
319,LIVERPOOL JOHN MOORES UNIVERSITY,"46,402,391",2012
320,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,"2,224,801",2012
321,"UNIVERSITY OF THE ARTS, LONDON","42,071,549",2012
322,UNIVERSITY OF LONDON,"95,139",2012
323,UNIVERSITY COLLEGE LONDON,"172,511,908",2012
324,LONDON BUSINESS SCHOOL,"6,592,270",2012
325,THE LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,"24,381,506",2012
326,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,"21,321,181",2012
327,LONDON METROPOLITAN UNIVERSITY,"37,631,085",2012
328,LONDON SOUTH BANK UNIVERSITY,"31,349,838",2012
329,LOUGHBOROUGH UNIVERSITY,"52,009,495",2012
330,THE UNIVERSITY OF MANCHESTER,"160,910,435",2012
331,MANCHESTER METROPOLITAN UNIVERSITY,"59,740,880",2012
332,MIDDLESEX UNIVERSITY,"35,952,485",2012
333,NEWCASTLE UNIVERSITY,"87,814,175",2012
334,NEWMAN UNIVERSITY,"4,046,404",2012
335,THE UNIVERSITY OF NORTHAMPTON,"18,142,273",2012
336,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,"43,901,697",2012
337,NORWICH UNIVERSITY OF THE ARTS,"4,562,977",2012
338,THE UNIVERSITY OF NOTTINGHAM,"110,271,493",2012
339,NOTTINGHAM TRENT UNIVERSITY,"45,451,126",2012
340,THE OPEN UNIVERSITY,"150,350,019",2012
341,THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES,"11,567,807",2012
342,UNIVERSITY OF OXFORD,"177,510,396",2012
343,OXFORD BROOKES UNIVERSITY,"28,729,792",2012
344,UNIVERSITY OF PLYMOUTH,"63,815,990",2012
345,PLYMOUTH COLLEGE OF ART,"2,250,862",2012
346,UNIVERSITY OF PORTSMOUTH,"44,529,260",2012
347,QUEEN MARY UNIVERSITY OF LONDON,"80,056,926",2012
348,RAVENSBOURNE,"5,166,988",2012
349,THE UNIVERSITY OF READING,"39,316,971",2012
350,ROEHAMPTON UNIVERSITY,"16,487,544",2012
351,ROSE BRUFORD COLLEGE,"2,836,704",2012
352,THE ROYAL ACADEMY OF MUSIC,"3,858,164",2012
353,THE ROYAL AGRICULTURAL UNIVERSITY,"3,821,836",2012
354,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,"4,208,942",2012
355,THE ROYAL COLLEGE OF ART,"9,935,876",2012
356,ROYAL COLLEGE OF MUSIC,"3,950,408",2012
357,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","29,088,297",2012
358,ROYAL NORTHERN COLLEGE OF MUSIC,"5,215,159",2012
359,THE ROYAL VETERINARY COLLEGE,"23,701,148",2012
360,"ST. GEORGE'S, UNIVERSITY OF LONDON","24,107,484",2012
361,UNIVERSITY OF ST MARK & ST JOHN,"3,154,539",2012
362,"ST MARY'S UNIVERSITY, TWICKENHAM","6,271,477",2012
363,THE UNIVERSITY OF SALFORD,"39,402,757",2012
364,THE UNIVERSITY OF SHEFFIELD,"98,332,949",2012
365,SHEFFIELD HALLAM UNIVERSITY,"48,683,428",2012
366,THE UNIVERSITY OF SOUTHAMPTON,"87,613,807",2012
367,SOUTHAMPTON SOLENT UNIVERSITY,"24,547,307",2012
368,STAFFORDSHIRE UNIVERSITY,"36,162,857",2012
369,UNIVERSITY CAMPUS SUFFOLK LTD,"9,144,897",2012
370,UNIVERSITY OF SUNDERLAND,"25,595,471",2012
371,UNIVERSITY OF SURREY,"35,089,289",2012
372,UNIVERSITY OF SUSSEX,"39,187,225",2012
373,TEESSIDE UNIVERSITY,"35,566,633",2012
374,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE LTD,"7,365,103",2012
375,THE UNIVERSITY OF WARWICK,"67,089,015",2012
376,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL","46,477,400",2012
377,THE UNIVERSITY OF WEST LONDON,"16,824,115",2012
378,THE UNIVERSITY OF WESTMINSTER,"41,261,631",2012
379,UNIVERSITY OF WINCHESTER,"7,773,243",2012
380,THE UNIVERSITY OF WOLVERHAMPTON,"36,273,060",2012
381,UNIVERSITY OF WORCESTER,"13,304,455",2012
382,WRITTLE COLLEGE,"2,801,984",2012
383,THE UNIVERSITY OF YORK,"51,097,535",2012
384,YORK ST JOHN UNIVERSITY,"7,126,919",2012
385,ACCRINGTON AND ROSSENDALE COLLEGE,"879,148",2012
386,ACTIVATE LEARNING,"23,255",2012
387,AMERSHAM & WYCOMBE COLLEGE,"58,981",2012
388,ASHTON SIXTH FORM COLLEGE,"12,890",2012
389,ASKHAM BRYAN COLLEGE,"1,162,469",2012
390,BARKING AND DAGENHAM COLLEGE,"475,152",2012
391,BARNET & SOUTHGATE COLLEGE,"72,264",2012
392,BARNFIELD COLLEGE,"47,583",2012
393,BARNSLEY COLLEGE,"23,296",2012
394,BASINGSTOKE COLLEGE OF TECHNOLOGY,"276,001",2012
395,CITY OF BATH COLLEGE,"226,626",2012
396,BEDFORD COLLEGE,"550,599",2012
397,THE BERKSHIRE COLLEGE OF AGRICULTURE (BCA),"49,421",2012
398,BEXLEY COLLEGE,"1,834",2012
399,BIRMINGHAM METROPOLITAN COLLEGE,"578,729",2012
400,BISHOP BURTON COLLEGE,"2,297,831",2012
401,BLACKBURN COLLEGE,"5,874,345",2012
402,BLACKPOOL AND THE FYLDE COLLEGE,"5,738,450",2012
403,BMC (BROOKSBY MELTON COLLEGE),"197,861",2012
404,BOLTON COLLEGE,"156,340",2012
405,BOSTON COLLEGE,"28,752",2012
406,THE BOURNEMOUTH AND POOLE COLLEGE,"154,920",2012
407,BRADFORD COLLEGE,"5,032,655",2012
408,BRIDGWATER COLLEGE,"376,504",2012
409,CITY COLLEGE BRIGHTON AND HOVE,"84,100",2012
410,CITY OF BRISTOL COLLEGE,"112,362",2012
411,BROCKENHURST COLLEGE,"17,349",2012
412,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION,"72,262",2012
413,BROOKLANDS COLLEGE,"166,922",2012
414,BURNLEY COLLEGE,"85,741",2012
415,CALDERDALE COLLEGE,"417,210",2012
416,CAMBRIDGE REGIONAL COLLEGE,"20,928",2012
417,CANTERBURY COLLEGE,"210,331",2012
418,CARLISLE COLLEGE,"381,522",2012
419,CARSHALTON COLLEGE,"78,779",2012
420,CENTRAL BEDFORDSHIRE COLLEGE,"18,340",2012
421,CENTRAL COLLEGE NOTTINGHAM,"672,991",2012
422,CENTRAL SUSSEX COLLEGE,"309,365",2012
423,CHESTERFIELD COLLEGE,"850,271",2012
424,CHICHESTER COLLEGE,"258,220",2012
425,CITY AND ISLINGTON COLLEGE,"70,759",2012
426,CLEVELAND COLLEGE OF ART AND DESIGN,"1,297,099",2012
427,COLCHESTER INSTITUTE,"75,609",2012
428,CORNWALL COLLEGE,"246,356",2012
429,CITY COLLEGE COVENTRY,"197,923",2012
430,CRAVEN COLLEGE,"326,542",2012
431,CROYDON COLLEGE,"1,736,078",2012
432,DEARNE VALLEY COLLEGE,"336,830",2012
433,DERBY COLLEGE,"295,003",2012
434,DONCASTER COLLEGE,"2,148,807",2012
435,DUDLEY COLLEGE,"433,041",2012
436,NEW COLLEGE DURHAM,"2,266,694",2012
437,"EALING, HAMMERSMITH & WEST LONDON COLLEGE","219,897",2012
438,EAST RIDING COLLEGE,"355,368",2012
439,EASTLEIGH COLLEGE,"170,214",2012
440,EXETER COLLEGE,"268,121",2012
441,FAREHAM COLLEGE,"59,080",2012
442,FARNBOROUGH COLLEGE OF TECHNOLOGY,"1,892,450",2012
443,FURNESS COLLEGE,"18,340",2012
444,GATESHEAD COLLEGE,"822,734",2012
445,GLOUCESTERSHIRE COLLEGE,"723,289",2012
446,GRIMSBY INSTITUTE OF FURTHER AND HIGHER EDUCATION,"4,229,029",2012
447,GUILDFORD COLLEGE,"1,250,958",2012
448,HACKNEY COMMUNITY COLLEGE,"22,675",2012
449,HADLOW COLLEGE,"162,987",2012
450,HALESOWEN COLLEGE,"27,606",2012
451,"THE COLLEGE OF HARINGEY, ENFIELD AND NORTH-EAST LONDON","28,226",2012
452,HARROW COLLEGE,"45,884",2012
453,HARTPURY COLLEGE,"358,163",2012
